NetworkLookup_TblRefID,Network_Code,Network_RAPDRPCode,Network_Name,Network_Address,HigherNetwork_ID,NetworkHierarchy_TblRefID,OrganisationLookup_TblRefID,IsActiveStatus,EntryUserCode,EntryDateTime,EntryLoginCode,UpdateLoginCode,UpdateUserCode,UpdateDateTime,Network_NIC_Code,Network_PFC_Code,SUPPLY_VTG_TblRefID
269001,MCZ0000447,MCZ0000447,SCHM NO.103  KESHAR BAGH,SCHM NO.103  KESHAR BAGH,6707,3,166,True,1,10/14/2020 9:35:38 AM,,,,,,,1
269002,MCZ0000448,MCZ0000448,SCHM NO.103  KESHAR BAGH,SCHM NO.103  KESHAR BAGH,6707,3,166,True,1,10/14/2020 9:35:38 AM,,,,,,,1
269003,MCZ0000452,MCZ0000452,MAIN ROAD  SCH.NO. 103,MAIN ROAD  SCH.NO. 103,6707,3,166,True,1,10/14/2020 9:35:38 AM,,,,,,,1
269004,MCZ0000453,MCZ0000453,BH-35  SARNATH COLONY A.B. ROAD,BH-35  SARNATH COLONY A.B. ROAD,6567,3,166,True,1,10/14/2020 9:35:38 AM,,,,,,,1
269005,MCZ0000469,MCZ0000469,GUPTA COMPOUND,GUPTA COMPOUND,7335,3,166,True,1,10/14/2020 9:35:38 AM,,,,,,,1
269006,MCZ0000471,MCZ0000471,MANIKBAG MAIN ROAD SENTEX,MANIKBAG MAIN ROAD SENTEX,6571,3,166,True,1,10/14/2020 9:35:38 AM,,,,,,,1
269007,MCZ0000474,MCZ0000474,SUNDARM COMPLEX BHAVARKUA ICICI BANK,SUNDARM COMPLEX BHAVARKUA ICICI BANK,7356,3,166,True,1,10/14/2020 9:35:38 AM,,,,,,,1
269008,MCZ0000477,MCZ0000477,NEAR PIPLIYA PALA TALAB,NEAR PIPLIYA PALA TALAB,6709,3,166,True,1,10/14/2020 9:35:38 AM,,,,,,,1
269009,MCZ0000480,MCZ0000480,INSIDE PIPLIYA RAO VILLAGE,INSIDE PIPLIYA RAO VILLAGE,6709,3,166,True,1,10/14/2020 9:35:38 AM,,,,,,,1
269010,MCZ0000489,MCZ0000489,MATAJI TEMPAL  BEHIND HELLO POINT,MATAJI TEMPAL  BEHIND HELLO POINT,6224,3,166,True,1,10/14/2020 9:35:38 AM,,,,,,,1
269011,MCZ0000493,MCZ0000493,NOORI NAGAR-I,NOORI NAGAR-I,6715,3,166,True,1,10/14/2020 9:35:38 AM,,,,,,,1
269012,MCZ0000507,MCZ0000507,NCM CAMPUS 120,NCM CAMPUS 120,6568,3,166,True,1,10/14/2020 9:35:38 AM,,,,,,,1
269013,MCZ0000522,MCZ0000522,SHYAM NAGAR,SHYAM NAGAR,6708,3,166,True,1,10/14/2020 9:35:38 AM,,,,,,,1
269014,MCZ0000541,MCZ0000541,284 TEJPUR GADBADI B ROAD,284 TEJPUR GADBADI B ROAD,6567,3,166,True,1,10/14/2020 9:35:38 AM,,,,,,,1
269015,MCZ0000547,MCZ0000547,SHREE RAM KRAPA SANSTHA AMITESH NAGAR,SHREE RAM KRAPA SANSTHA AMITESH NAGAR,6707,3,166,True,1,10/14/2020 9:35:38 AM,,,,,,,1
269016,MCZ0000550,MCZ0000550,AMITESH NAGAR SOURABH APT.,AMITESH NAGAR SOURABH APT.,6707,3,166,True,1,10/14/2020 9:35:38 AM,,,,,,,1
269017,MCZ0000552,MCZ0000552,NAMAK GODOWN  SHYAM NAGAR WALA,NAMAK GODOWN  SHYAM NAGAR WALA,6708,3,166,True,1,10/14/2020 9:35:38 AM,,,,,,,1
269018,MCZ0000569,MCZ0000569,SCHM NO.103-3,SCHM NO.103-3,6707,3,166,True,1,10/14/2020 9:35:38 AM,,,,,,,1
269019,MCZ0000573,MCZ0000573,SCHM NO.103-3,SCHM NO.103-3,6707,3,166,True,1,10/14/2020 9:35:38 AM,,,,,,,1
