NetworkLookup_TblRefID,Network_Code,Network_RAPDRPCode,Network_Name,Network_Address,HigherNetwork_ID,NetworkHierarchy_TblRefID,OrganisationLookup_TblRefID,IsActiveStatus,EntryUserCode,EntryDateTime,EntryLoginCode,UpdateLoginCode,UpdateUserCode,UpdateDateTime,Network_NIC_Code,Network_PFC_Code,SUPPLY_VTG_TblRefID
272001,NBO0001590,NBO0001590,RAYLA  WALA DLF,RAYLA  WALA DLF,5126,3,221,True,1,10/14/2020 9:35:38 AM,,,,,,,1
272002,NBO0001602,NBO0001602,ANIL WALA DLF,ANIL WALA DLF,5126,3,221,True,1,10/14/2020 9:35:38 AM,,,,,,,1
272003,NBO0001604,NBO0001604,PRIPANA GAON 1,PRIPANA GAON 1,5126,3,221,True,1,10/14/2020 9:35:38 AM,,,,,,,1
272004,NBO0001606,NBO0001606,SUPAR FATA,SUPAR FATA,5125,3,221,True,1,10/14/2020 9:35:38 AM,,,,,,,1
272005,NBO0001622,NBO0001622,HARPAL BHILU,HARPAL BHILU,5125,3,221,True,1,10/14/2020 9:35:38 AM,,,,,,,1
272006,NBO0001632,NBO0001632,JAMUN NALA 5,JAMUN NALA 5,5126,3,221,True,1,10/14/2020 9:35:38 AM,,,,,,,1
272007,NBO0001638,NBO0001638,NEEMKHEDI DLF,NEEMKHEDI DLF,5126,3,221,True,1,10/14/2020 9:35:38 AM,,,,,,,1
272008,NBO0001640,NBO0001640,GAON WALA,GAON WALA,5126,3,221,True,1,10/14/2020 9:35:38 AM,,,,,,,1
272009,NBO0001643,NBO0001643,TALAI FALYA DLF,TALAI FALYA DLF,5126,3,221,True,1,10/14/2020 9:35:38 AM,,,,,,,1
272010,NBO0001648,NBO0001648,DOZER GAON WALA,DOZER GAON WALA,8584,3,221,True,1,10/14/2020 9:35:38 AM,,,,,,,1
272011,NBO0001659,NBO0001659,GORELAL BATHU WALI,GORELAL BATHU WALI,5714,3,221,True,1,10/14/2020 9:35:38 AM,,,,,,,1
272012,NBO0001676,NBO0001676,BANAPUR  GAV WALI 3,BANAPUR  GAV WALI 3,8584,3,221,True,1,10/14/2020 9:35:38 AM,,,,,,,1
272013,NBO0001695,NBO0001695,ARUN RAJARAM,ARUN RAJARAM,6515,3,221,True,1,10/14/2020 9:35:38 AM,,,,,,,1
272014,NBO0001698,NBO0001698,MOHAMMED IRSHAD,MOHAMMED IRSHAD,6515,3,221,True,1,10/14/2020 9:35:38 AM,,,,,,,1
272015,NBO0001700,NBO0001700,JETLI GAON WALA,JETLI GAON WALA,8584,3,221,True,1,10/14/2020 9:35:38 AM,,,,,,,1
272016,NBO0001707,NBO0001707,SHRICHAND MOHAN PRAJAPATI,SHRICHAND MOHAN PRAJAPATI,6515,3,221,True,1,10/14/2020 9:35:38 AM,,,,,,,1
272017,NBO0001725,NBO0001725,BUS STAND NIMBOLA,BUS STAND NIMBOLA,5104,3,221,True,1,10/14/2020 9:35:38 AM,,,,,,,1
272018,NBO0001727,NBO0001727,SMT. MAINABAI ONKAR,SMT. MAINABAI ONKAR,6515,3,221,True,1,10/14/2020 9:35:38 AM,,,,,,,1
272019,NBO0001750,NBO0001750,TARACHAND TOTARAM,TARACHAND TOTARAM,6515,3,221,True,1,10/14/2020 9:35:38 AM,,,,,,,1
272020,NBO0001756,NBO0001756,KHAMLA GAON 2,KHAMLA GAON 2,5104,3,221,True,1,10/14/2020 9:35:38 AM,,,,,,,1
272021,NBO0001759,NBO0001759,KARUNA FALYA 2,KARUNA FALYA 2,5104,3,221,True,1,10/14/2020 9:35:38 AM,,,,,,,1
272022,NBO0001760,NBO0001760,KARUNA 3,KARUNA 3,5104,3,221,True,1,10/14/2020 9:35:38 AM,,,,,,,1
272023,NBO0001763,NBO0001763,REDLYA FALYA,REDLYA FALYA,5104,3,221,True,1,10/14/2020 9:35:38 AM,,,,,,,1
272024,NBO0001782,NBO0001782,KIRTIBAI SUBHASH,KIRTIBAI SUBHASH,5542,3,221,True,1,10/14/2020 9:35:38 AM,,,,,,,1
272025,NBO0001799,NBO0001799,RAHMAT SAHAB,RAHMAT SAHAB,6515,3,221,True,1,10/14/2020 9:35:38 AM,,,,,,,1
272026,NBO0001812,NBO0001812,DHANRAJ BABURAO,DHANRAJ BABURAO,5542,3,221,True,1,10/14/2020 9:35:38 AM,,,,,,,1
272027,NBO0001818,NBO0001818,MALGAO FALYA,MALGAO FALYA,5359,3,221,True,1,10/14/2020 9:35:38 AM,,,,,,,1
272028,NBO0001821,NBO0001821,REMSING 2,REMSING 2,5359,3,221,True,1,10/14/2020 9:35:38 AM,,,,,,,1
272029,NBO0001824,NBO0001824,AWLYAPATI,AWLYAPATI,5359,3,221,True,1,10/14/2020 9:35:38 AM,,,,,,,1
272030,NBO0001830,NBO0001830,RIJAN SAHAB,RIJAN SAHAB,6516,3,221,True,1,10/14/2020 9:35:38 AM,,,,,,,1
272031,NBO0001834,NBO0001834,GUWADA WALI,GUWADA WALI,6540,3,221,True,1,10/14/2020 9:35:38 AM,,,,,,,1
272032,NBO0001851,NBO0001851,VIKAS PATIL WALA,VIKAS PATIL WALA,5563,3,221,True,1,10/14/2020 9:35:38 AM,,,,,,,1
272033,NBO0001853,NBO0001853,LALKARAY WALI,LALKARAY WALI,6540,3,221,True,1,10/14/2020 9:35:38 AM,,,,,,,1
272034,NBO0001857,NBO0001857,GOPAL CHODHRI WALA,GOPAL CHODHRI WALA,5563,3,221,True,1,10/14/2020 9:35:38 AM,,,,,,,1
272035,NBO0001858,NBO0001858,SARPANCH WALI HDFC BANK,SARPANCH WALI HDFC BANK,6540,3,221,True,1,10/14/2020 9:35:38 AM,,,,,,,1
272036,NBO0001861,NBO0001861,SHRIRAM BHIKA WALI,SHRIRAM BHIKA WALI,5563,3,221,True,1,10/14/2020 9:35:38 AM,,,,,,,1
272037,NBO0001870,NBO0001870,DHANSINGH FALYA 2 DLF,DHANSINGH FALYA 2 DLF,6540,3,221,True,1,10/14/2020 9:35:38 AM,,,,,,,1
272038,NBO0001871,NBO0001871,BELTHAD 1,BELTHAD 1,6540,3,221,True,1,10/14/2020 9:35:38 AM,,,,,,,1
272039,NBO0001874,NBO0001874,GIO TOWER,GIO TOWER,6540,3,221,True,1,10/14/2020 9:35:38 AM,,,,,,,1
272040,NBO0001880,NBO0001880,KHAJAN WALI,KHAJAN WALI,5359,3,221,True,1,10/14/2020 9:35:38 AM,,,,,,,1
272041,NBO0001881,NBO0001881,PYARSINGH DLF,PYARSINGH DLF,5359,3,221,True,1,10/14/2020 9:35:38 AM,,,,,,,1
272042,NBO0001884,NBO0001884,TUTLYA FALYA 1,TUTLYA FALYA 1,5359,3,221,True,1,10/14/2020 9:35:38 AM,,,,,,,1
272043,NBO0001889,NBO0001889,MALAN BABA 2,MALAN BABA 2,5359,3,221,True,1,10/14/2020 9:35:38 AM,,,,,,,1
272044,NBO0001902,NBO0001902,MANGILAL GADIAMBA,MANGILAL GADIAMBA,5359,3,221,True,1,10/14/2020 9:35:38 AM,,,,,,,1
272045,NBO0001905,NBO0001905,BIHARI WALI,BIHARI WALI,5359,3,221,True,1,10/14/2020 9:35:38 AM,,,,,,,1
272046,NBO0001909,NBO0001909,BALIRAM WALA,BALIRAM WALA,6539,3,221,True,1,10/14/2020 9:35:38 AM,,,,,,,1
272047,NBO0001910,NBO0001910,JAAMSINGH,JAAMSINGH,6539,3,221,True,1,10/14/2020 9:35:38 AM,,,,,,,1
272048,NBO0001911,NBO0001911,KAMAL FALYA,KAMAL FALYA,5359,3,221,True,1,10/14/2020 9:35:38 AM,,,,,,,1
272049,NBO0001914,NBO0001914,MAAL FALYA,MAAL FALYA,5359,3,221,True,1,10/14/2020 9:35:38 AM,,,,,,,1
272050,NBO0001916,NBO0001916,SURBHAN WALI,SURBHAN WALI,6539,3,221,True,1,10/14/2020 9:35:38 AM,,,,,,,1
272051,NBO0001917,NBO0001917,MALSINGH 2,MALSINGH 2,5359,3,221,True,1,10/14/2020 9:35:38 AM,,,,,,,1
272052,NBO0001923,NBO0001923,BANSINGH,BANSINGH,6539,3,221,True,1,10/14/2020 9:35:38 AM,,,,,,,1
