NetworkLookup_TblRefID,Network_Code,Network_RAPDRPCode,Network_Name,Network_Address,HigherNetwork_ID,NetworkHierarchy_TblRefID,OrganisationLookup_TblRefID,IsActiveStatus,EntryUserCode,EntryDateTime,EntryLoginCode,UpdateLoginCode,UpdateUserCode,UpdateDateTime,Network_NIC_Code,Network_PFC_Code,SUPPLY_VTG_TblRefID
281001,SGN0000105,SGN0000105,Natwar Wala,Natwar Wala,4549,3,481,True,1,10/14/2020 9:35:38 AM,,,,,,,1
281002,SGN0000111,SGN0000111,Manora Wala,Manora Wala,3875,3,481,True,1,10/14/2020 9:35:38 AM,,,,,,,1
281003,SGN0000120,SGN0000120,Banjari Raste Wala,Banjari Raste Wala,3875,3,481,True,1,10/14/2020 9:35:38 AM,,,,,,,1
281004,SGN0000128,SGN0000128,Gaon Wala Ii,Gaon Wala Ii,3875,3,481,True,1,10/14/2020 9:35:38 AM,,,,,,,1
281005,SGN0000135,SGN0000135,Jagdish Khatriya Wala,Jagdish Khatriya Wala,3875,3,481,True,1,10/14/2020 9:35:38 AM,,,,,,,1
281006,SGN0000144,SGN0000144,Radhu Rathod Wala,Radhu Rathod Wala,8409,3,481,True,1,10/14/2020 9:35:38 AM,,,,,,,1
281007,SGN0000150,SGN0000150,Ashok Baba Wala I,Ashok Baba Wala I,4549,3,481,True,1,10/14/2020 9:35:38 AM,,,,,,,1
281008,SGN0000155,SGN0000155,Narayan Bagada Wala,Narayan Bagada Wala,8409,3,481,True,1,10/14/2020 9:35:38 AM,,,,,,,1
281009,SGN0000156,SGN0000156,Gaon Wala I,Gaon Wala I,8409,3,481,True,1,10/14/2020 9:35:38 AM,,,,,,,1
281010,SGN0000157,SGN0000157,Gaon Wala Ii,Gaon Wala Ii,8409,3,481,True,1,10/14/2020 9:35:38 AM,,,,,,,1
281011,SGN0000164,SGN0000164,Talab Wala Ii,Talab Wala Ii,8409,3,481,True,1,10/14/2020 9:35:38 AM,,,,,,,1
281012,SGN0000167,SGN0000167,Talab Manendra Wala,Talab Manendra Wala,8409,3,481,True,1,10/14/2020 9:35:38 AM,,,,,,,1
281013,SGN0000179,SGN0000179,Mahandra Mansharam Wala,Mahandra Mansharam Wala,4880,3,481,True,1,10/14/2020 9:35:38 AM,,,,,,,1
281014,SGN0000184,SGN0000184,Gaon Wala,Gaon Wala,5859,3,481,True,1,10/14/2020 9:35:38 AM,,,,,,,1
281015,SGN0000196,SGN0000196,Gaon Wala,Gaon Wala,8387,3,481,True,1,10/14/2020 9:35:38 AM,,,,,,,1
281016,SGN0000198,SGN0000198,Gaon Wala,Gaon Wala,8387,3,481,True,1,10/14/2020 9:35:38 AM,,,,,,,1
281017,SGN0000199,SGN0000199,Dagdiya Ke Khet,Dagdiya Ke Khet,8387,3,481,True,1,10/14/2020 9:35:38 AM,,,,,,,1
281018,SGN0000201,SGN0000201,Hiralal patidar ke khet me,Hiralal patidar ke khet me,8386,3,481,True,1,10/14/2020 9:35:38 AM,,,,,,,1
281019,SGN0000212,SGN0000212,main road dharmshala,main road dharmshala,3875,3,481,True,1,10/14/2020 9:35:38 AM,,,,,,,1
281020,SGN0000216,SGN0000216,gaon wala 2,gaon wala 2,8387,3,481,True,1,10/14/2020 9:35:38 AM,,,,,,,1
281021,SGN0000222,SGN0000222,gaon wala dhamasiya,gaon wala dhamasiya,8387,3,481,True,1,10/14/2020 9:35:38 AM,,,,,,,1
281022,SGN0000223,SGN0000223,gaon wala kolambiya,gaon wala kolambiya,8387,3,481,True,1,10/14/2020 9:35:38 AM,,,,,,,1
281023,SGN0000224,SGN0000224,gaon wala khar,gaon wala khar,8387,3,481,True,1,10/14/2020 9:35:38 AM,,,,,,,1
281024,SGN0000231,SGN0000231,nawadpura wala,nawadpura wala,8387,3,481,True,1,10/14/2020 9:35:38 AM,,,,,,,1
281025,SGN0000235,SGN0000235,Tower wala,Tower wala,8387,3,481,True,1,10/14/2020 9:35:38 AM,,,,,,,1
281026,SGN0000240,SGN0000240,bhikarkhedi road wala,bhikarkhedi road wala,4678,3,481,True,1,10/14/2020 9:35:38 AM,,,,,,,1
281027,SGN0000243,SGN0000243,gaon wala,gaon wala,8387,3,481,True,1,10/14/2020 9:35:38 AM,,,,,,,1
281028,SGN0000252,SGN0000252,harijan mohalla wala,harijan mohalla wala,5860,3,481,True,1,10/14/2020 9:35:38 AM,,,,,,,1
281029,SGN0000258,SGN0000258,dongargaon raste wala,dongargaon raste wala,5860,3,481,True,1,10/14/2020 9:35:38 AM,,,,,,,1
281030,SGN0000263,SGN0000263,hatiya wala,hatiya wala,8409,3,481,True,1,10/14/2020 9:35:38 AM,,,,,,,1
281031,SGN0000272,SGN0000272,shriram ke khet wala,shriram ke khet wala,4549,3,481,True,1,10/14/2020 9:35:38 AM,,,,,,,1
281032,SGN0000273,SGN0000273,narsari gaon wala,narsari gaon wala,4678,3,481,True,1,10/14/2020 9:35:38 AM,,,,,,,1
281033,SGN0000277,SGN0000277,lalu ke pass wala,lalu ke pass wala,8387,3,481,True,1,10/14/2020 9:35:38 AM,,,,,,,1
281034,SGN0000283,SGN0000283,revaram dada wala,revaram dada wala,4678,3,481,True,1,10/14/2020 9:35:38 AM,,,,,,,1
281035,SGN0000287,SGN0000287,Gorelala wala,Gorelala wala,4880,3,481,True,1,10/14/2020 9:35:38 AM,,,,,,,1
281036,SGN0000315,SGN0000315,school ke piche wala,school ke piche wala,8409,3,481,True,1,10/14/2020 9:35:38 AM,,,,,,,1
281037,SGN0000323,SGN0000323,shantilal wala,shantilal wala,3863,3,481,True,1,10/14/2020 9:35:38 AM,,,,,,,1
281038,SGN0000325,SGN0000325,dilip soni wala,dilip soni wala,8387,3,481,True,1,10/14/2020 9:35:38 AM,,,,,,,1
281039,SGN0000335,SGN0000335,kashiram ramlal,kashiram ramlal,4549,3,481,True,1,10/14/2020 9:35:38 AM,,,,,,,1
281040,SGN0000344,SGN0000344,dhudi bai wala,dhudi bai wala,8386,3,481,True,1,10/14/2020 9:35:38 AM,,,,,,,1
281041,SGN0000348,SGN0000348,kashiram sukhlal,kashiram sukhlal,4880,3,481,True,1,10/14/2020 9:35:38 AM,,,,,,,1
281042,SGN0000357,SGN0000357,anil jagdish,anil jagdish,5860,3,481,True,1,10/14/2020 9:35:38 AM,,,,,,,1
281043,SGN0000364,SGN0000364,stone creshar wala chitawal,stone creshar wala chitawal,8387,3,481,True,1,10/14/2020 9:35:38 AM,,,,,,,1
281044,SGN0000365,SGN0000365,pathak wala,pathak wala,4678,3,481,True,1,10/14/2020 9:35:38 AM,,,,,,,1
281045,SGN0000366,SGN0000366,nahar wala I bhikharkhedi,nahar wala I bhikharkhedi,8386,3,481,True,1,10/14/2020 9:35:38 AM,,,,,,,1
281046,SGN0000380,SGN0000380,nihalsing wala,nihalsing wala,4549,3,481,True,1,10/14/2020 9:35:38 AM,,,,,,,1
