NetworkLookup_TblRefID,Network_Code,Network_RAPDRPCode,Network_Name,Network_Address,HigherNetwork_ID,NetworkHierarchy_TblRefID,OrganisationLookup_TblRefID,IsActiveStatus,EntryUserCode,EntryDateTime,EntryLoginCode,UpdateLoginCode,UpdateUserCode,UpdateDateTime,Network_NIC_Code,Network_PFC_Code,SUPPLY_VTG_TblRefID
286001,SWS0000376,SWS0000376,25KVA SHIVNARYAN WALA,25KVA SHIVNARYAN WALA,5379,3,296,True,1,10/14/2020 9:35:38 AM,,,,,,,1
286002,SWS0000410,SWS0000410,High school ke pass wala,High school ke pass wala,6840,3,296,True,1,10/14/2020 9:35:38 AM,,,,,,,1
286003,SWS0000414,SWS0000414,madi  mata wala,madi  mata wala,6840,3,296,True,1,10/14/2020 9:35:38 AM,,,,,,,1
286004,SWS0000419,SWS0000419,nai aabadi school ke paas,nai aabadi school ke paas,2260,3,296,True,1,10/14/2020 9:35:38 AM,,,,,,,1
286005,SWS0000427,SWS0000427,dhodhar chopati wala,dhodhar chopati wala,6788,3,296,True,1,10/14/2020 9:35:38 AM,,,,,,,1
286006,SWS0000429,SWS0000429,mittu ke ghar ke paas wala,mittu ke ghar ke paas wala,7878,3,296,True,1,10/14/2020 9:35:38 AM,,,,,,,1
286007,SWS0000433,SWS0000433,relaince jio wala jagdi,relaince jio wala jagdi,6788,3,296,True,1,10/14/2020 9:35:38 AM,,,,,,,1
286008,SWS0000437,SWS0000437,reliance jio wala village pratappura,reliance jio wala village pratappura,7878,3,296,True,1,10/14/2020 9:35:38 AM,,,,,,,1
286009,SWS0000438,SWS0000438,SUB STATION WALA DHALPAT,SUB STATION WALA DHALPAT,2260,3,296,True,1,10/14/2020 9:35:38 AM,,,,,,,1
286010,SWS0000443,SWS0000443,Gaou wala Rojhani,Gaou wala Rojhani,6788,3,296,True,1,10/14/2020 9:35:38 AM,,,,,,,1
286011,SWS0000456,SWS0000456,Shyamubai Ramsingh wala,Shyamubai Ramsingh wala,5379,3,296,True,1,10/14/2020 9:35:38 AM,,,,,,,1
286012,SWS0000459,SWS0000459,krishnabai wala,krishnabai wala,6787,3,296,True,1,10/14/2020 9:35:38 AM,,,,,,,1
286013,SWS0000461,SWS0000461,Jivansingh wala Village Baridya,Jivansingh wala Village Baridya,6787,3,296,True,1,10/14/2020 9:35:38 AM,,,,,,,1
286014,SWS0000466,SWS0000466,BRAJMOHANSINGH WALA,BRAJMOHANSINGH WALA,6787,3,296,True,1,10/14/2020 9:35:38 AM,,,,,,,1
286015,SWS0000469,SWS0000469,25KVA SURAJBAI WALA NIJI,25KVA SURAJBAI WALA NIJI,6787,3,296,True,1,10/14/2020 9:35:38 AM,,,,,,,1
286016,SWS0000473,SWS0000473,FATTA DHANNA WALA,FATTA DHANNA WALA,6787,3,296,True,1,10/14/2020 9:35:38 AM,,,,,,,1
286017,SWS0000485,SWS0000485,CHAINRAM JI WALA,CHAINRAM JI WALA,2060,3,296,True,1,10/14/2020 9:35:38 AM,,,,,,,1
286018,SWS0000494,SWS0000494,RAMBHAJAN WALA,RAMBHAJAN WALA,2060,3,296,True,1,10/14/2020 9:35:38 AM,,,,,,,1
286019,SWS0000501,SWS0000501,BHAGWANSINGH WALA,BHAGWANSINGH WALA,5379,3,296,True,1,10/14/2020 9:35:38 AM,,,,,,,1
286020,SWS0000502,SWS0000502,DUNGARSINGH WALA ADDISNAL DTR,DUNGARSINGH WALA ADDISNAL DTR,2259,3,296,True,1,10/14/2020 9:35:38 AM,,,,,,,1
286021,SWS0000508,SWS0000508,danusingh wala,danusingh wala,2259,3,296,True,1,10/14/2020 9:35:38 AM,,,,,,,1
286022,SWS0000520,SWS0000520,BADRISINGH WALA ANUDAN,BADRISINGH WALA ANUDAN,6090,3,296,True,1,10/14/2020 9:35:38 AM,,,,,,,1
286023,SWS0000529,SWS0000529,KALU SINGH WALA,KALU SINGH WALA,5379,3,296,True,1,10/14/2020 9:35:38 AM,,,,,,,1
286024,SWS0000532,SWS0000532,BHERULAL BHUWAN WALA,BHERULAL BHUWAN WALA,5379,3,296,True,1,10/14/2020 9:35:38 AM,,,,,,,1
286025,SWS0000533,SWS0000533,BHAGATRAM LAL JI,BHAGATRAM LAL JI,5379,3,296,True,1,10/14/2020 9:35:38 AM,,,,,,,1
286026,SWS0000539,SWS0000539,tejabai wala,tejabai wala,5379,3,296,True,1,10/14/2020 9:35:38 AM,,,,,,,1
286027,SWS0000540,SWS0000540,vishnukunwar wala,vishnukunwar wala,5379,3,296,True,1,10/14/2020 9:35:38 AM,,,,,,,1
286028,SWS0000541,SWS0000541,VINOD AKSHI WALA,VINOD AKSHI WALA,2259,3,296,True,1,10/14/2020 9:35:38 AM,,,,,,,1
286029,SWS0000543,SWS0000543,SHARADCHANDRA WALA,SHARADCHANDRA WALA,2060,3,296,True,1,10/14/2020 9:35:38 AM,,,,,,,1
286030,SWS0000547,SWS0000547,vinod mukund patidar wala,vinod mukund patidar wala,6116,3,296,True,1,10/14/2020 9:35:38 AM,,,,,,,1
286031,SYT0000002,SYT0000002,School Ke Peeche,School Ke Peeche,2759,3,82,True,1,10/14/2020 9:35:38 AM,,,,,,,1
286032,SYT0000008,SYT0000008,Gaon Wala,Gaon Wala,2702,3,82,True,1,10/14/2020 9:35:38 AM,,,,,,,1
286033,SYT0000010,SYT0000010,Gujar Ka Kua,Gujar Ka Kua,8047,3,82,True,1,10/14/2020 9:35:38 AM,,,,,,,1
286034,SYT0000018,SYT0000018,Nanuram Tokiya,Nanuram Tokiya,8047,3,82,True,1,10/14/2020 9:35:38 AM,,,,,,,1
286035,SYT0000032,SYT0000032,Gaon Wala,Gaon Wala,2703,3,82,True,1,10/14/2020 9:35:38 AM,,,,,,,1
286036,SYT0000034,SYT0000034,Khoyara Wala,Khoyara Wala,2703,3,82,True,1,10/14/2020 9:35:38 AM,,,,,,,1
286037,SYT0000039,SYT0000039,Kothada Road Wala,Kothada Road Wala,2703,3,82,True,1,10/14/2020 9:35:38 AM,,,,,,,1
286038,SYT0000056,SYT0000056,Badhaye Ghata,Badhaye Ghata,8047,3,82,True,1,10/14/2020 9:35:38 AM,,,,,,,1
286039,SYT0000065,SYT0000065,Kalusingh Wala,Kalusingh Wala,3609,3,82,True,1,10/14/2020 9:35:38 AM,,,,,,,1
286040,SYT0000070,SYT0000070,Lohar Wala,Lohar Wala,8047,3,82,True,1,10/14/2020 9:35:38 AM,,,,,,,1
286041,SYT0000072,SYT0000072,Nala Wala,Nala Wala,8047,3,82,True,1,10/14/2020 9:35:38 AM,,,,,,,1
286042,SYT0000073,SYT0000073,Nayapura Bus Stand,Nayapura Bus Stand,2756,3,82,True,1,10/14/2020 9:35:38 AM,,,,,,,1
286043,SYT0000078,SYT0000078,Sethani Wala,Sethani Wala,8047,3,82,True,1,10/14/2020 9:35:38 AM,,,,,,,1
286044,SYT0000079,SYT0000079,Shiv Rati Ram 1,Shiv Rati Ram 1,3609,3,82,True,1,10/14/2020 9:35:38 AM,,,,,,,1
286045,SYT0000093,SYT0000093,Gaon Wala,Gaon Wala,3610,3,82,True,1,10/14/2020 9:35:38 AM,,,,,,,1
286046,SYT0000101,SYT0000101,Barh Wala,Barh Wala,2703,3,82,True,1,10/14/2020 9:35:38 AM,,,,,,,1
286047,SYT0000111,SYT0000111,Gaon Wala,Gaon Wala,2758,3,82,True,1,10/14/2020 9:35:38 AM,,,,,,,1
286048,SYT0000112,SYT0000112,Kankar Wala,Kankar Wala,2759,3,82,True,1,10/14/2020 9:35:38 AM,,,,,,,1
286049,SYT0000124,SYT0000124,Barai Rasta Wala - 2,Barai Rasta Wala - 2,8047,3,82,True,1,10/14/2020 9:35:38 AM,,,,,,,1
286050,SYT0000129,SYT0000129,Pahadi Ke Neeche,Pahadi Ke Neeche,2760,3,82,True,1,10/14/2020 9:35:38 AM,,,,,,,1
286051,SYT0000163,SYT0000163,Naya Dora,Naya Dora,3609,3,82,True,1,10/14/2020 9:35:38 AM,,,,,,,1
286052,SYT0000166,SYT0000166,Purana Dora,Purana Dora,5778,3,82,True,1,10/14/2020 9:35:38 AM,,,,,,,1
286053,SYT0000180,SYT0000180,Badi Khedi,Badi Khedi,6371,3,82,True,1,10/14/2020 9:35:38 AM,,,,,,,1
286054,SYT0000187,SYT0000187,Kaji Patti,Kaji Patti,6889,3,82,True,1,10/14/2020 9:35:38 AM,,,,,,,1
286055,SYT0000197,SYT0000197,Mahudi Wala,Mahudi Wala,6889,3,82,True,1,10/14/2020 9:35:38 AM,,,,,,,1
286056,SYT0000198,SYT0000198,Mela Ground,Mela Ground,6889,3,82,True,1,10/14/2020 9:35:38 AM,,,,,,,1
286057,SYT0000217,SYT0000217,Hazari Wala,Hazari Wala,8047,3,82,True,1,10/14/2020 9:35:38 AM,,,,,,,1
286058,SYT0000246,SYT0000246,Idea,Idea,2757,3,82,True,1,10/14/2020 9:35:38 AM,,,,,,,1
286059,SYT0000248,SYT0000248,Jagdish Kalu,Jagdish Kalu,2703,3,82,True,1,10/14/2020 9:35:38 AM,,,,,,,1
286060,SYT0000251,SYT0000251,Bhanwerlal,Bhanwerlal,6889,3,82,True,1,10/14/2020 9:35:38 AM,,,,,,,1
286061,SYT0000252,SYT0000252,Bhanwerlal,Bhanwerlal,6889,3,82,True,1,10/14/2020 9:35:38 AM,,,,,,,1
