NetworkLookup_TblRefID,Network_Code,Network_RAPDRPCode,Network_Name,Network_Address,HigherNetwork_ID,NetworkHierarchy_TblRefID,OrganisationLookup_TblRefID,IsActiveStatus,EntryUserCode,EntryDateTime,EntryLoginCode,UpdateLoginCode,UpdateUserCode,UpdateDateTime,Network_NIC_Code,Network_PFC_Code,SUPPLY_VTG_TblRefID
229873,ZKW0000346,ZKW0000346,ANUDAN BHANWARSING MANSING WALA,ANUDAN BHANWARSING MANSING WALA,6251,3,414,True,1,10/14/2020 9:35:38 AM,,,,,,,1
229874,ZKW0000372,ZKW0000372,ANUDAN LEKHENDRA JANI WALA,ANUDAN LEKHENDRA JANI WALA,4826,3,414,True,1,10/14/2020 9:35:38 AM,,,,,,,1
229875,ZKW0000376,ZKW0000376,ANUDANRAMSING DEVA WALA,ANUDANRAMSING DEVA WALA,8493,3,414,True,1,10/14/2020 9:35:38 AM,,,,,,,1
229876,ZKW0000379,ZKW0000379,ANUDAN SURESH SET WALA,ANUDAN SURESH SET WALA,5021,3,414,True,1,10/14/2020 9:35:38 AM,,,,,,,1
229877,ZKW0000383,ZKW0000383,ANUDAN MANHOR GUJAR WALA,ANUDAN MANHOR GUJAR WALA,8493,3,414,True,1,10/14/2020 9:35:38 AM,,,,,,,1
229878,ZKW0000385,ZKW0000385,ANUDAN ANSING SOMJI WALA,ANUDAN ANSING SOMJI WALA,8496,3,414,True,1,10/14/2020 9:35:38 AM,,,,,,,1
229879,ZKW0000397,ZKW0000397,TANDA WALA,TANDA WALA,5021,3,414,True,1,10/14/2020 9:35:38 AM,,,,,,,1
229880,ZKW0000409,ZKW0000409,KOMAL SINGH WALA,KOMAL SINGH WALA,4955,3,414,True,1,10/14/2020 9:35:38 AM,,,,,,,1
229881,ZKW0000412,ZKW0000412,RAKESH WALA,RAKESH WALA,4955,3,414,True,1,10/14/2020 9:35:38 AM,,,,,,,1
229882,ZKW0000418,ZKW0000418,AAMBAPADA JIO TOWER,AAMBAPADA JIO TOWER,4955,3,414,True,1,10/14/2020 9:35:38 AM,,,,,,,1
229883,ZKW0000425,ZKW0000425,MISHRI LAL WALA,MISHRI LAL WALA,4955,3,414,True,1,10/14/2020 9:35:38 AM,,,,,,,1
229884,ZKW0000436,ZKW0000436,ANUDAN GIRVARSINGH AMARSINGH WALA,ANUDAN GIRVARSINGH AMARSINGH WALA,6251,3,414,True,1,10/14/2020 9:35:38 AM,,,,,,,1
229885,ZKW0000442,ZKW0000442,ANUDAN PUNIYA WALA,ANUDAN PUNIYA WALA,6251,3,414,True,1,10/14/2020 9:35:38 AM,,,,,,,1
229886,ZKW0000451,ZKW0000451,AAMLIREELA GAOWN WALA,AAMLIREELA GAOWN WALA,6251,3,414,True,1,10/14/2020 9:35:38 AM,,,,,,,1
229887,ZKW0000453,ZKW0000453,ANUDAN DALSINGH WALA,ANUDAN DALSINGH WALA,6251,3,414,True,1,10/14/2020 9:35:38 AM,,,,,,,1
229888,ZKW0000466,ZKW0000466,SADHU SOMLA WALA,SADHU SOMLA WALA,6251,3,414,True,1,10/14/2020 9:35:38 AM,,,,,,,1
229889,ZKW0000467,ZKW0000467,SOBHAGY WALA,SOBHAGY WALA,6251,3,414,True,1,10/14/2020 9:35:38 AM,,,,,,,1
229890,ZKW0000471,ZKW0000471,CHAKKI WALA,CHAKKI WALA,6251,3,414,True,1,10/14/2020 9:35:38 AM,,,,,,,1
229891,ZKW0000474,ZKW0000474,gundiya faliya wala,gundiya faliya wala,5021,3,414,True,1,10/14/2020 9:35:38 AM,,,,,,,1
229892,ZKW0000476,ZKW0000476,GAWON WAL,GAWON WAL,4955,3,414,True,1,10/14/2020 9:35:38 AM,,,,,,,1
229893,ZKW0000478,ZKW0000478,KANIRAM RAJMAL WALA,KANIRAM RAJMAL WALA,6251,3,414,True,1,10/14/2020 9:35:38 AM,,,,,,,1
229894,ZKW0000486,ZKW0000486,DEVISINGH SHIDAJI WALA,DEVISINGH SHIDAJI WALA,6251,3,414,True,1,10/14/2020 9:35:38 AM,,,,,,,1
229895,ZKW0000504,ZKW0000504,RANJIT PURA WALA,RANJIT PURA WALA,4826,3,414,True,1,10/14/2020 9:35:38 AM,,,,,,,1
229896,ZKW0000514,ZKW0000514,ANUDAN SHANTILAL AMBARAM WALA,ANUDAN SHANTILAL AMBARAM WALA,4826,3,414,True,1,10/14/2020 9:35:38 AM,,,,,,,1
229897,ZKW0000515,ZKW0000515,UNKAR NANURAM WALA,UNKAR NANURAM WALA,4826,3,414,True,1,10/14/2020 9:35:38 AM,,,,,,,1
229898,ZKW0000529,ZKW0000529,RANCHOD GENDALAL WALA,RANCHOD GENDALAL WALA,5021,3,414,True,1,10/14/2020 9:35:38 AM,,,,,,,1
229899,ZKW0000534,ZKW0000534,RADHESHYAM SOBARAM WALA,RADHESHYAM SOBARAM WALA,5021,3,414,True,1,10/14/2020 9:35:38 AM,,,,,,,1
229900,ZKW0000537,ZKW0000537,JUNAPANI WALA,JUNAPANI WALA,5021,3,414,True,1,10/14/2020 9:35:38 AM,,,,,,,1
229901,ZKW0000538,ZKW0000538,RAMA WALA,RAMA WALA,5021,3,414,True,1,10/14/2020 9:35:38 AM,,,,,,,1
229902,ZKW0000539,ZKW0000539,RAHUL MANGLIYA,RAHUL MANGLIYA,5021,3,414,True,1,10/14/2020 9:35:38 AM,,,,,,,1
229903,ZKW0000544,ZKW0000544,AJIT SINGH WALA,AJIT SINGH WALA,5021,3,414,True,1,10/14/2020 9:35:38 AM,,,,,,,1
229904,ZKW0000545,ZKW0000545,RAMCHNDRA KHIMA,RAMCHNDRA KHIMA,5021,3,414,True,1,10/14/2020 9:35:38 AM,,,,,,,1
229905,ZKW0000550,ZKW0000550,RAMA SUKALIYA WALA,RAMA SUKALIYA WALA,5021,3,414,True,1,10/14/2020 9:35:38 AM,,,,,,,1
229906,ZKW0000559,ZKW0000559,RAJIV GHANDHI TALAB,RAJIV GHANDHI TALAB,8496,3,414,True,1,10/14/2020 9:35:38 AM,,,,,,,1
229907,ZKW0000565,ZKW0000565,ANUDAN TETIBAI MEGU BARIYA,ANUDAN TETIBAI MEGU BARIYA,8496,3,414,True,1,10/14/2020 9:35:38 AM,,,,,,,1
229908,ZKW0000577,ZKW0000577,ANUDAN TOLIYA NANSINGH,ANUDAN TOLIYA NANSINGH,8496,3,414,True,1,10/14/2020 9:35:38 AM,,,,,,,1
229909,ZKW0000579,ZKW0000579,ANUDAN MOHAN DHUMA WALA,ANUDAN MOHAN DHUMA WALA,8496,3,414,True,1,10/14/2020 9:35:38 AM,,,,,,,1
229910,ZKW0000589,ZKW0000589,ANUDAN SUKALIYA VALJI WALA,ANUDAN SUKALIYA VALJI WALA,8496,3,414,True,1,10/14/2020 9:35:38 AM,,,,,,,1
229911,ZKW0000591,ZKW0000591,ANUDAN KALU DHULA WALA,ANUDAN KALU DHULA WALA,8496,3,414,True,1,10/14/2020 9:35:38 AM,,,,,,,1
229912,ZKW0000596,ZKW0000596,ANUDAN MANGILAL KHUMSINGH WALA,ANUDAN MANGILAL KHUMSINGH WALA,5021,3,414,True,1,10/14/2020 9:35:38 AM,,,,,,,1
229913,ZKW0000602,ZKW0000602,ANUDAN BALWANTSINGH KHUMSINGH WALA,ANUDAN BALWANTSINGH KHUMSINGH WALA,6251,3,414,True,1,10/14/2020 9:35:38 AM,,,,,,,1
229914,UPL0000794,UPL0000794,72RAMESH WALA,72RAMESH WALA,5383,3,326,True,1,10/14/2020 9:35:38 AM,,,,,,,1
229915,UPL0000800,UPL0000800,RAMESH LAXSMICHAND WALA(NO. 1),RAMESH LAXSMICHAND WALA(NO. 1),6120,3,326,True,1,10/14/2020 9:35:38 AM,,,,,,,1
229916,UPL0000816,UPL0000816,DODIYANA HARIJAN MOHALLA,DODIYANA HARIJAN MOHALLA,2156,3,326,True,1,10/14/2020 9:35:38 AM,,,,,,,1
229917,UPL0000819,UPL0000819,GAON WALA NAYAPURA(DP. NO. 14),GAON WALA NAYAPURA(DP. NO. 14),5382,3,326,True,1,10/14/2020 9:35:38 AM,,,,,,,1
229918,UPL0000823,UPL0000823,HANUMAN JI WALA( DP NO. 30),HANUMAN JI WALA( DP NO. 30),1753,3,326,True,1,10/14/2020 9:35:38 AM,,,,,,,1
229919,UPL0000827,UPL0000827,KERWASA ROAD UPLAI,KERWASA ROAD UPLAI,1753,3,326,True,1,10/14/2020 9:35:38 AM,,,,,,,1
229920,UPL0000828,UPL0000828,KESHURAM WALA UPLAI,KESHURAM WALA UPLAI,1753,3,326,True,1,10/14/2020 9:35:38 AM,,,,,,,1
229921,UPL0000830,UPL0000830,MANDIR WALA REWAS,MANDIR WALA REWAS,5382,3,326,True,1,10/14/2020 9:35:38 AM,,,,,,,1
229922,UPL0000833,UPL0000833,MATA JI WALA BILLAKHEDA,MATA JI WALA BILLAKHEDA,6122,3,326,True,1,10/14/2020 9:35:38 AM,,,,,,,1
