NetworkLookup_TblRefID,Network_Code,Network_RAPDRPCode,Network_Name,Network_Address,HigherNetwork_ID,NetworkHierarchy_TblRefID,OrganisationLookup_TblRefID,IsActiveStatus,EntryUserCode,EntryDateTime,EntryLoginCode,UpdateLoginCode,UpdateUserCode,UpdateDateTime,Network_NIC_Code,Network_PFC_Code,SUPPLY_VTG_TblRefID
210774,SSN0000921,SSN0000921,court wala  new,court wala  new,6890,3,83,True,1,10/14/2020 9:35:38 AM,,,,,,,1
210778,SSN0000934,SSN0000934,s.d.o. wala soil test lab wala,s.d.o. wala soil test lab wala,6890,3,83,True,1,10/14/2020 9:35:38 AM,,,,,,,1
210785,SSN0000987,SSN0000987,stonre crushr wala,stonre crushr wala,3067,3,83,True,1,10/14/2020 9:35:38 AM,,,,,,,1
210789,SSN0001008,SSN0001008,bsnl tower wala,bsnl tower wala,2962,3,84,True,1,10/14/2020 9:35:38 AM,,,,,,,1
210793,SSN0001030,SSN0001030,BIRDICHAND MOTILAL PATIDAR,BIRDICHAND MOTILAL PATIDAR,2963,3,83,True,1,10/14/2020 9:35:38 AM,,,,,,,1
210797,SSR0000010,SSR0000010,SOLYAPURA RICHU KAY PALASI,SOLYAPURA RICHU KAY PALASI,4192,3,393,True,1,10/14/2020 9:35:38 AM,,,,,,,1
210807,SSR0000106,SSR0000106,BTL TOWER WALA KHODRA PAR FIFEDA,BTL TOWER WALA KHODRA PAR FIFEDA,4044,3,393,True,1,10/14/2020 9:35:38 AM,,,,,,,1
210831,STR0000141,STR0000141,TALAI WALA,TALAI WALA,8598,3,295,True,1,10/14/2020 9:35:38 AM,,,,,,,1
210858,STR0000266,STR0000266,TOLL TAX WALA,TOLL TAX WALA,2005,3,295,True,1,10/14/2020 9:35:38 AM,,,,,,,1
210875,SWR0000505,SWR0000505,FRIEND FOODS,FRIEND FOODS,7139,3,197,True,1,10/14/2020 9:35:38 AM,,,,,,,1
210876,SWR0000509,SWR0000509,GIRNAR PACKAGING,GIRNAR PACKAGING,7139,3,197,True,1,10/14/2020 9:35:38 AM,,,,,,,1
210877,SWR0000512,SWR0000512,JAI KISHAN,JAI KISHAN,7139,3,197,True,1,10/14/2020 9:35:38 AM,,,,,,,1
210878,SWR0000518,SWR0000518,MANOJ KE,MANOJ KE,7139,3,197,True,1,10/14/2020 9:35:38 AM,,,,,,,1
210879,SWR0000521,SWR0000521,ROHIT FOOT,ROHIT FOOT,7139,3,197,True,1,10/14/2020 9:35:38 AM,,,,,,,1
210880,SWR0000534,SWR0000534,S B M K IND,S B M K IND,7139,3,197,True,1,10/14/2020 9:35:38 AM,,,,,,,1
210881,SWR0000554,SWR0000554,SARLA PACKING,SARLA PACKING,6687,3,197,True,1,10/14/2020 9:35:38 AM,,,,,,,1
210882,SWR0000556,SWR0000556,SANJAY PLASTIC,SANJAY PLASTIC,6687,3,197,True,1,10/14/2020 9:35:38 AM,,,,,,,1
210883,SWR0000562,SWR0000562,SHEKHAR PIPE -1,SHEKHAR PIPE -1,6687,3,197,True,1,10/14/2020 9:35:38 AM,,,,,,,1
210884,SWR0000563,SWR0000563,SHEKHAR PIPE-2,SHEKHAR PIPE-2,6687,3,197,True,1,10/14/2020 9:35:38 AM,,,,,,,1
210886,SWR0000589,SWR0000589,MESARS QUALITY MACHINE TOOLS,MESARS QUALITY MACHINE TOOLS,6690,3,197,True,1,10/14/2020 9:35:38 AM,,,,,,,1
210887,SWR0000592,SWR0000592,ARUN,ARUN,6190,3,197,True,1,10/14/2020 9:35:38 AM,,,,,,,1
210888,SWR0000603,SWR0000603,SEEMA IND,SEEMA IND,6191,3,197,True,1,10/14/2020 9:35:38 AM,,,,,,,1
210889,SWR0000606,SWR0000606,CELLEROLL PLYMER,CELLEROLL PLYMER,6191,3,197,True,1,10/14/2020 9:35:38 AM,,,,,,,1
210890,SWR0000617,SWR0000617,BALAJI IND.,BALAJI IND.,8718,3,197,True,1,10/14/2020 9:35:38 AM,,,,,,,1
210891,SWR0000620,SWR0000620,KRISHNA BALA,KRISHNA BALA,8718,3,197,True,1,10/14/2020 9:35:38 AM,,,,,,,1
210892,SWS0000005,SWS0000005,200 KVA TAHSIL ROAD WALA,200 KVA TAHSIL ROAD WALA,6840,3,296,True,1,10/14/2020 9:35:38 AM,,,,,,,1
210907,SWS0000125,SWS0000125,WATER WORKS DHLPAT,WATER WORKS DHLPAT,2260,3,296,True,1,10/14/2020 9:35:38 AM,,,,,,,1
210923,SWS0000206,SWS0000206,100 KVA GAOU WALA 2ND,100 KVA GAOU WALA 2ND,7878,3,296,True,1,10/14/2020 9:35:38 AM,,,,,,,1
210928,SWS0000215,SWS0000215,100 KVA GAOU WALA,100 KVA GAOU WALA,6788,3,296,True,1,10/14/2020 9:35:38 AM,,,,,,,1
210950,SNW0000476,SNW0000476,Petrol Pump Wali,Petrol Pump Wali,4381,3,153,True,1,10/14/2020 9:35:38 AM,,,,,,,1
210965,SNW0000558,SNW0000558,Santosh Seth Wala,Santosh Seth Wala,6029,3,153,True,1,10/14/2020 9:35:38 AM,,,,,,,1
210970,SNW0000594,SNW0000594,DEVNARAYAN WALA,DEVNARAYAN WALA,5645,3,153,True,1,10/14/2020 9:35:38 AM,,,,,,,1
210975,SNW0000649,SNW0000649,SOCIETY WALA,SOCIETY WALA,8704,3,153,True,1,10/14/2020 9:35:38 AM,,,,,,,1
210978,SNW0000671,SNW0000671,GAON WALA,GAON WALA,4381,3,153,True,1,10/14/2020 9:35:38 AM,,,,,,,1
211029,STS0000001,STS0000001,CRESSIDA-2,CRESSIDA-2,6608,3,155,True,1,10/14/2020 9:35:38 AM,,,,,,,1
211031,STS0000005,STS0000005,CRISTA-2,CRISTA-2,6434,3,155,True,1,10/14/2020 9:35:38 AM,,,,,,,1
211032,STS0000016,STS0000016,572 A BAGICHE K PASS,572 A BAGICHE K PASS,5949,3,155,True,1,10/14/2020 9:35:38 AM,,,,,,,1
211033,STS0000022,STS0000022,48 A K SAMNE,48 A K SAMNE,5949,3,155,True,1,10/14/2020 9:35:38 AM,,,,,,,1
211034,STS0000023,STS0000023,CHOUKI K PASS,CHOUKI K PASS,5949,3,155,True,1,10/14/2020 9:35:38 AM,,,,,,,1
211035,STS0000028,STS0000028,826 K PASS,826 K PASS,5949,3,155,True,1,10/14/2020 9:35:38 AM,,,,,,,1
211036,STS0000030,STS0000030,651 R K PASS,651 R K PASS,5949,3,155,True,1,10/14/2020 9:35:38 AM,,,,,,,1
211037,STS0000037,STS0000037,176 R K PASS,176 R K PASS,5949,3,155,True,1,10/14/2020 9:35:38 AM,,,,,,,1
211038,STS0000056,STS0000056,730 SAI KIRPA,730 SAI KIRPA,6733,3,155,True,1,10/14/2020 9:35:38 AM,,,,,,,1
211039,STS0000060,STS0000060,C2 PUSHP VIHAR KE SAMNE,C2 PUSHP VIHAR KE SAMNE,6733,3,155,True,1,10/14/2020 9:35:38 AM,,,,,,,1
211040,STS0000078,STS0000078,NARIMAN PONIT G BLOCK,NARIMAN PONIT G BLOCK,5952,3,155,True,1,10/14/2020 9:35:38 AM,,,,,,,1
211046,STS0000105,STS0000105,VEDANT SCHOOL K SAMNE,VEDANT SCHOOL K SAMNE,6598,3,155,True,1,10/14/2020 9:35:38 AM,,,,,,,1
211047,STS0000111,STS0000111,HOUSE NO 1 K SAMNE KOUTREE,HOUSE NO 1 K SAMNE KOUTREE,6598,3,155,True,1,10/14/2020 9:35:38 AM,,,,,,,1
211075,SWS0000423,SWS0000423,stediam wala,stediam wala,6840,3,296,True,1,10/14/2020 9:35:38 AM,,,,,,,1
211077,SWS0000436,SWS0000436,Vishupatidar wala mandsour road,Vishupatidar wala mandsour road,2061,3,296,True,1,10/14/2020 9:35:38 AM,,,,,,,1
211117,SSR0000259,SSR0000259,KAWDA ROAD WALA TEMRIYA,KAWDA ROAD WALA TEMRIYA,5848,3,393,True,1,10/14/2020 9:35:38 AM,,,,,,,1
211118,SSR0000263,SSR0000263,WOTER WORKS WALA TEMRIYA,WOTER WORKS WALA TEMRIYA,5848,3,393,True,1,10/14/2020 9:35:38 AM,,,,,,,1
211153,STS0000128,STS0000128,TULSI NAGAR SARASWTI MANDIR K PASS,TULSI NAGAR SARASWTI MANDIR K PASS,8757,3,155,True,1,10/14/2020 9:35:38 AM,,,,,,,1
211154,STS0000150,STS0000150,TULSI NAGAR 98 C NALE KE PASS,TULSI NAGAR 98 C NALE KE PASS,8757,3,155,True,1,10/14/2020 9:35:38 AM,,,,,,,1
211156,STS0000155,STS0000155,TULSIYANA HEIGHT,TULSIYANA HEIGHT,8757,3,155,True,1,10/14/2020 9:35:38 AM,,,,,,,1
211157,STS0000156,STS0000156,DEEP PALACE 44-45 FACTORY WALA,DEEP PALACE 44-45 FACTORY WALA,8757,3,155,True,1,10/14/2020 9:35:38 AM,,,,,,,1
211159,STS0000166,STS0000166,RELIANCE JIO TOWER APOLO  KE SAMNE,RELIANCE JIO TOWER APOLO  KE SAMNE,8757,3,155,True,1,10/14/2020 9:35:38 AM,,,,,,,1
211161,STS0000172,STS0000172,ARIHANT STONE,ARIHANT STONE,6223,3,155,True,1,10/14/2020 9:35:38 AM,,,,,,,1
211162,STS0000176,STS0000176,1 A PRESS COMPLEX,1 A PRESS COMPLEX,7145,3,155,True,1,10/14/2020 9:35:38 AM,,,,,,,1
211163,STS0000179,STS0000179,NAVBHARAT KE PASS,NAVBHARAT KE PASS,7145,3,155,True,1,10/14/2020 9:35:38 AM,,,,,,,1
211165,STS0000201,STS0000201,RENESAA COLLEGE,RENESAA COLLEGE,6704,3,155,True,1,10/14/2020 9:35:38 AM,,,,,,,1
211166,STS0000203,STS0000203,37 ANURAG NAGAR,37 ANURAG NAGAR,6704,3,155,True,1,10/14/2020 9:35:38 AM,,,,,,,1
211167,STS0000205,STS0000205,SUCHI VILLA,SUCHI VILLA,6704,3,155,True,1,10/14/2020 9:35:38 AM,,,,,,,1
211168,STS0000210,STS0000210,SATYA SAI CHOURAHA,SATYA SAI CHOURAHA,7333,3,155,True,1,10/14/2020 9:35:38 AM,,,,,,,1
211169,STS0000211,STS0000211,GUJRATI SCHOOL KE PASS,GUJRATI SCHOOL KE PASS,7333,3,155,True,1,10/14/2020 9:35:38 AM,,,,,,,1
211171,STS0000214,STS0000214,132 A BASANT VIHAR,132 A BASANT VIHAR,7333,3,155,True,1,10/14/2020 9:35:38 AM,,,,,,,1
211172,STS0000219,STS0000219,124 BASANT VIHAR,124 BASANT VIHAR,7333,3,155,True,1,10/14/2020 9:35:38 AM,,,,,,,1
211173,STS0000251,STS0000251,CLASSIC PURNIMA,CLASSIC PURNIMA,7332,3,155,True,1,10/14/2020 9:35:38 AM,,,,,,,1
211174,STS0000253,STS0000253,VEENA NAGAR,VEENA NAGAR,7332,3,155,True,1,10/14/2020 9:35:38 AM,,,,,,,1
211176,STS0000258,STS0000258,OMNI GARDEN,OMNI GARDEN,7332,3,155,True,1,10/14/2020 9:35:38 AM,,,,,,,1
211177,STS0000259,STS0000259,MAHAK VATIKA WALA,MAHAK VATIKA WALA,5928,3,155,True,1,10/14/2020 9:35:38 AM,,,,,,,1
211179,STS0000277,STS0000277,ANANDA 2 MN 29-30 KE SAMNE,ANANDA 2 MN 29-30 KE SAMNE,7332,3,155,True,1,10/14/2020 9:35:38 AM,,,,,,,1
211180,STS0000285,STS0000285,HAJARI BAG-2((NO USE),HAJARI BAG-2((NO USE),5928,3,155,True,1,10/14/2020 9:35:38 AM,,,,,,,1
211181,STS0000289,STS0000289,ORBIT MALL-5,ORBIT MALL-5,5929,3,155,True,1,10/14/2020 9:35:38 AM,,,,,,,1
211183,STS0000309,STS0000309,56-PU-4,56-PU-4,5929,3,155,True,1,10/14/2020 9:35:38 AM,,,,,,,1
211185,STS0000327,STS0000327,KHATU SHYAM MANDIR,KHATU SHYAM MANDIR,7334,3,155,True,1,10/14/2020 9:35:38 AM,,,,,,,1
211186,STS0000334,STS0000334,SHULABH COMPLEX SOLANKI NAGAR,SHULABH COMPLEX SOLANKI NAGAR,7334,3,155,True,1,10/14/2020 9:35:38 AM,,,,,,,1
211187,STS0000360,STS0000360,RAJ LAXMI TVS SHOWROOM,RAJ LAXMI TVS SHOWROOM,6706,3,155,True,1,10/14/2020 9:35:38 AM,,,,,,,1
211188,STS0000362,STS0000362,BARFANI DHAM KE PICHE,BARFANI DHAM KE PICHE,6706,3,155,True,1,10/14/2020 9:35:38 AM,,,,,,,1
211189,STS0000370,STS0000370,BCM DTR-5,BCM DTR-5,8734,3,155,True,1,10/14/2020 9:35:38 AM,,,,,,,1
211190,STS0000373,STS0000373,PRINCE RESIDENCY,PRINCE RESIDENCY,8734,3,155,True,1,10/14/2020 9:35:38 AM,,,,,,,1
