NetworkLookup_TblRefID,Network_Code,Network_RAPDRPCode,Network_Name,Network_Address,HigherNetwork_ID,NetworkHierarchy_TblRefID,OrganisationLookup_TblRefID,IsActiveStatus,EntryUserCode,EntryDateTime,EntryLoginCode,UpdateLoginCode,UpdateUserCode,UpdateDateTime,Network_NIC_Code,Network_PFC_Code,SUPPLY_VTG_TblRefID
67380,DHS0000028,DHS0000028,harijan mohhle wala,harijan mohhle wala,6603,3,147,True,1,10/14/2020 9:35:38 AM,,,,,,,1
67386,DHS0000075,DHS0000075,limboda anudan,limboda anudan,4241,3,147,True,1,10/14/2020 9:35:38 AM,,,,,,,1
67391,DHS0000122,DHS0000122,RAJU THAKUR WALA,RAJU THAKUR WALA,4244,3,147,True,1,10/14/2020 9:35:38 AM,,,,,,,1
67398,DHS0000166,DHS0000166,ringnodiya choraha wala,ringnodiya choraha wala,8291,3,147,True,1,10/14/2020 9:35:38 AM,,,,,,,1
67434,DMN0000146,DMN0000146,DMN0000146,,2038,3,271,True,1,10/14/2020 9:35:38 AM,,,,,,,1
67439,DMN0000170,DMN0000170,DMN0000170,,7846,3,271,True,1,10/14/2020 9:35:38 AM,,,,,,,1
67492,DMN0000536,DMN0000536,DMN0000536,,1672,3,271,True,1,10/14/2020 9:35:38 AM,,,,,,,1
67503,DOS0000436,DOS0000436,Panchayat Ke Pass,Panchayat Ke Pass,7929,3,337,True,1,10/14/2020 9:35:38 AM,,,,,,,1
67536,DOS0000707,DOS0000707,FOUR LINE WALA STRIAT LIGHT,FOUR LINE WALA STRIAT LIGHT,2088,3,337,True,1,10/14/2020 9:35:38 AM,,,,,,,1
67543,DOS0000738,DOS0000738,BHERULAL BAGRIRAM WALA,BHERULAL BAGRIRAM WALA,7929,3,337,True,1,10/14/2020 9:35:38 AM,,,,,,,1
67563,DHS0000412,DHS0000412,Sureshsingh,Sureshsingh,8310,3,147,True,1,10/14/2020 9:35:38 AM,,,,,,,1
67564,DHS0000416,DHS0000416,Mali,Mali,6189,3,147,True,1,10/14/2020 9:35:38 AM,,,,,,,1
67577,DHS0000486,DHS0000486,Indrstrij Baord,Indrstrij Baord,6603,3,147,True,1,10/14/2020 9:35:38 AM,,,,,,,1
67578,DHS0000490,DHS0000490,Vashupaint,Vashupaint,6603,3,147,True,1,10/14/2020 9:35:38 AM,,,,,,,1
67579,DHS0000495,DHS0000495,Mankchand,Mankchand,6603,3,147,True,1,10/14/2020 9:35:38 AM,,,,,,,1
67581,DHS0000512,DHS0000512,Idea,Idea,3579,3,147,True,1,10/14/2020 9:35:38 AM,,,,,,,1
67584,DHS0000529,DHS0000529,Vinayk,Vinayk,4382,3,147,True,1,10/14/2020 9:35:38 AM,,,,,,,1
67588,DHS0000552,DHS0000552,Chordiya,Chordiya,4241,3,147,True,1,10/14/2020 9:35:38 AM,,,,,,,1
67601,DHS0000666,DHS0000666,PREMIUM PARK X-MER NO 11,PREMIUM PARK X-MER NO 11,8292,3,147,True,1,10/14/2020 9:35:38 AM,,,,,,,1
67606,DOD0000652,DOD0000652,SANSKAR  SCHOOL WALA,SANSKAR  SCHOOL WALA,1732,3,324,True,1,10/14/2020 9:35:38 AM,,,,,,,1
67635,DOS0000113,DOS0000113,WATER WORKS IPCA,WATER WORKS IPCA,2188,3,337,True,1,10/14/2020 9:35:38 AM,,,,,,,1
67656,DOS0000277,DOS0000277,pani ki tanki wali,pani ki tanki wali,2188,3,337,True,1,10/14/2020 9:35:38 AM,,,,,,,1
67684,DHS0000904,DHS0000904,05 NO DTR REWATI HILLS,05 NO DTR REWATI HILLS,4244,3,147,True,1,10/14/2020 9:35:38 AM,,,,,,,1
