NetworkLookup_TblRefID,Network_Code,Network_RAPDRPCode,Network_Name,Network_Address,HigherNetwork_ID,NetworkHierarchy_TblRefID,OrganisationLookup_TblRefID,IsActiveStatus,EntryUserCode,EntryDateTime,EntryLoginCode,UpdateLoginCode,UpdateUserCode,UpdateDateTime,Network_NIC_Code,Network_PFC_Code,SUPPLY_VTG_TblRefID
2001,4698490102,4698490102,KHAJURI NAAG DL(FS-DLF),KHAJURI NAAG DL(FS-DLF),520,2,291,True,1,10/14/2020 9:35:03 AM,,,,,,,1
2002,4698700101,4698700101,SATAKHEDI IRRI(FS-IRR),SATAKHEDI IRRI(FS-IRR),587,2,289,True,1,10/14/2020 9:35:03 AM,,,,,,,1
2003,4698700102,4698700102,BHAGORE/DALVDA(FS-IRR),BHAGORE/DALVDA(FS-IRR),587,2,289,True,1,10/14/2020 9:35:03 AM,,,,,,,1
2004,4698810104,4698810104,KARNALI IRRI(FS-IRR),KARNALI IRRI(FS-IRR),1456,2,289,True,1,10/14/2020 9:35:03 AM,,,,,,,1
2005,4698810105,4698810105,KHER KHEDA(FS-DLF),KHER KHEDA(FS-DLF),1456,2,289,True,1,10/14/2020 9:35:03 AM,,,,,,,1
2006,4698810106,4698810106,SEMLIYARANI IRR(FS-IRR),SEMLIYARANI IRR(FS-IRR),1456,2,295,True,1,10/14/2020 9:35:03 AM,,,,,,,1
2007,4693020103,4693020103,HIGORIYA(FS-DLF),HIGORIYA(FS-DLF),237,2,279,True,1,10/14/2020 9:35:03 AM,,,,,,,1
2008,4693210102,4693210102,LAKHAMA KHEDI(FS-IRR),LAKHAMA KHEDI(FS-IRR),371,2,259,True,1,10/14/2020 9:35:03 AM,,,,,,,1
2009,4693660101,4693660101,ANKYA DL(FS-DLF),ANKYA DL(FS-DLF),845,2,251,True,1,10/14/2020 9:35:03 AM,,,,,,,1
2010,4693730104,4693730104,BARDIYA AMRA NARIYA DL(FS-DLF),BARDIYA AMRA NARIYA DL(FS-DLF),843,2,251,True,1,10/14/2020 9:35:03 AM,,,,,,,1
2011,4693820102,4693820102,CHIKNIYA(FS-IRR),CHIKNIYA(FS-IRR),372,2,253,True,1,10/14/2020 9:35:03 AM,,,,,,,1
2012,4693820105,4693820105,SAPANIYA(FS-DLF),SAPANIYA(FS-DLF),372,2,253,True,1,10/14/2020 9:35:03 AM,,,,,,,1
2013,4693930101,4693930101,BARDIAISTMURAR DL(FS-DLF),BARDIAISTMURAR DL(FS-DLF),937,2,251,True,1,10/14/2020 9:35:03 AM,,,,,,,1
2014,4693930104,4693930104,KUNDALIYA DL(FS-DLF),KUNDALIYA DL(FS-DLF),937,2,251,True,1,10/14/2020 9:35:03 AM,,,,,,,1
