NetworkLookup_TblRefID,Network_Code,Network_RAPDRPCode,Network_Name,Network_Address,HigherNetwork_ID,NetworkHierarchy_TblRefID,OrganisationLookup_TblRefID,IsActiveStatus,EntryUserCode,EntryDateTime,EntryLoginCode,UpdateLoginCode,UpdateUserCode,UpdateDateTime,Network_NIC_Code,Network_PFC_Code,SUPPLY_VTG_TblRefID
289001,UPL0000712,UPL0000712,BANKAT LAL BHAGIRATH  WALI (DP No. 6),BANKAT LAL BHAGIRATH  WALI (DP No. 6),2154,3,326,True,1,10/14/2020 9:35:38 AM,,,,,,,1
289002,UPL0000747,UPL0000747,RATAN SINGH WALA (DP NO.13),RATAN SINGH WALA (DP NO.13),2292,3,326,True,1,10/14/2020 9:35:38 AM,,,,,,,1
289003,UPL0000749,UPL0000749,JAGDISH WALA MAMAJI (DP NO.20),JAGDISH WALA MAMAJI (DP NO.20),2157,3,326,True,1,10/14/2020 9:35:38 AM,,,,,,,1
289004,UPL0000756,UPL0000756,BABULAL KALU JI  WALI (DP NO.30),BABULAL KALU JI  WALI (DP NO.30),2289,3,326,True,1,10/14/2020 9:35:38 AM,,,,,,,1
289005,UPL0000757,UPL0000757,JAGDISH WALA (DP NO.11),JAGDISH WALA (DP NO.11),2157,3,326,True,1,10/14/2020 9:35:38 AM,,,,,,,1
289006,UPL0000765,UPL0000765,SUNDAR BAI DEVI SINGH WALI  (DP No. 76),SUNDAR BAI DEVI SINGH WALI  (DP No. 76),6121,3,326,True,1,10/14/2020 9:35:38 AM,,,,,,,1
289007,UPL0000769,UPL0000769,CHAMPAALAL WALA OYT (DP NO. 38),CHAMPAALAL WALA OYT (DP NO. 38),2157,3,326,True,1,10/14/2020 9:35:38 AM,,,,,,,1
289008,UPL0000772,UPL0000772,RAMPRASHAD WALA OYT (DP NO. 28),RAMPRASHAD WALA OYT (DP NO. 28),2157,3,326,True,1,10/14/2020 9:35:38 AM,,,,,,,1
289009,UPL0000782,UPL0000782,RESHAM BAI WALI (DP NO.21),RESHAM BAI WALI (DP NO.21),2291,3,326,True,1,10/14/2020 9:35:38 AM,,,,,,,1
289010,UPL0000789,UPL0000789,BANKAT LAL WALA OYT (DP No. 47),BANKAT LAL WALA OYT (DP No. 47),2154,3,326,True,1,10/14/2020 9:35:38 AM,,,,,,,1
289011,UPL0000790,UPL0000790,JAGGNATH AKHE RAM WALI (DP NO.67),JAGGNATH AKHE RAM WALI (DP NO.67),2155,3,326,True,1,10/14/2020 9:35:38 AM,,,,,,,1
289012,UPL0000798,UPL0000798,91MADAN SINGH,91MADAN SINGH,5383,3,326,True,1,10/14/2020 9:35:38 AM,,,,,,,1
289013,UPL0000801,UPL0000801,MASHUM SAHA (DP NO. 53),MASHUM SAHA (DP NO. 53),2157,3,326,True,1,10/14/2020 9:35:38 AM,,,,,,,1
289014,UPL0000810,UPL0000810,BAMTA WALA UPLAI,BAMTA WALA UPLAI,1753,3,326,True,1,10/14/2020 9:35:38 AM,,,,,,,1
289015,UPL0000811,UPL0000811,BAWADI WALI SARSI,BAWADI WALI SARSI,2156,3,326,True,1,10/14/2020 9:35:38 AM,,,,,,,1
289016,UPL0000815,UPL0000815,DEVRAM  UKEDIYA,DEVRAM  UKEDIYA,1753,3,326,True,1,10/14/2020 9:35:38 AM,,,,,,,1
289017,UPL0000869,UPL0000869,42HANSRAJ WALA,42HANSRAJ WALA,5383,3,326,True,1,10/14/2020 9:35:38 AM,,,,,,,1
289018,UPL0000887,UPL0000887,77UMRAO  NATHUKHEDI,77UMRAO  NATHUKHEDI,5383,3,326,True,1,10/14/2020 9:35:38 AM,,,,,,,1
289019,UPL0000936,UPL0000936,MOHAN MODIYA WALA  (DP No. 40),MOHAN MODIYA WALA  (DP No. 40),7905,3,326,True,1,10/14/2020 9:35:38 AM,,,,,,,1
289020,UPL0000967,UPL0000967,MADAN LAL THAWAR WALI (DP No. 17),MADAN LAL THAWAR WALI (DP No. 17),2154,3,326,True,1,10/14/2020 9:35:38 AM,,,,,,,1
289021,UPL0000976,UPL0000976,PREMKUNWAR WALI OYT (DP NO.26),PREMKUNWAR WALI OYT (DP NO.26),2291,3,326,True,1,10/14/2020 9:35:38 AM,,,,,,,1
289022,UPL0000983,UPL0000983,DINESH WALA (DP NO.37),DINESH WALA (DP NO.37),2291,3,326,True,1,10/14/2020 9:35:38 AM,,,,,,,1
289023,UPL0001017,UPL0001017,UDABA GAYRI WALA (DP NO.12),UDABA GAYRI WALA (DP NO.12),6122,3,326,True,1,10/14/2020 9:35:38 AM,,,,,,,1
289024,UPL0001018,UPL0001018,BALAI MOHALLA WALI(DP NO. 18),BALAI MOHALLA WALI(DP NO. 18),2156,3,326,True,1,10/14/2020 9:35:38 AM,,,,,,,1
289025,UPL0001031,UPL0001031,RAMLAL KASHIRAM KUMHAR ADDITIONAL (DP NO.11),RAMLAL KASHIRAM KUMHAR ADDITIONAL (DP NO.11),2335,3,326,True,1,10/14/2020 9:35:38 AM,,,,,,,1
289026,UPL0001033,UPL0001033,GOVINDRAM BHAGIRATH (DP NO.16),GOVINDRAM BHAGIRATH (DP NO.16),2335,3,326,True,1,10/14/2020 9:35:38 AM,,,,,,,1
289027,UPL0001038,UPL0001038,KANIRAM WALA (DP NO.40),KANIRAM WALA (DP NO.40),2335,3,326,True,1,10/14/2020 9:35:38 AM,,,,,,,1
289028,UPL0001045,UPL0001045,RADHESHYAM PATIDAR NO.2 (DP No. 69),RADHESHYAM PATIDAR NO.2 (DP No. 69),7905,3,326,True,1,10/14/2020 9:35:38 AM,,,,,,,1
289029,UPL0001048,UPL0001048,JANI BAI WALI  (DP No. 31),JANI BAI WALI  (DP No. 31),7905,3,326,True,1,10/14/2020 9:35:38 AM,,,,,,,1
289030,UPL0001056,UPL0001056,RAJAKHEDI NANDU MOHAN WALA (DP No. 43),RAJAKHEDI NANDU MOHAN WALA (DP No. 43),7905,3,326,True,1,10/14/2020 9:35:38 AM,,,,,,,1
289031,UPL0001068,UPL0001068,BHNAWARLAL SHOBHARAM WALA (DP No. 48),BHNAWARLAL SHOBHARAM WALA (DP No. 48),7905,3,326,True,1,10/14/2020 9:35:38 AM,,,,,,,1
289032,UPL0001071,UPL0001071,BAD  WALA ADDITIONAL (DP No. 3),BAD  WALA ADDITIONAL (DP No. 3),2153,3,326,True,1,10/14/2020 9:35:38 AM,,,,,,,1
289033,UPL0001087,UPL0001087,CHIMAN LAL MANGILAL WALI (DP NO. 79),CHIMAN LAL MANGILAL WALI (DP NO. 79),5217,3,326,True,1,10/14/2020 9:35:38 AM,,,,,,,1
289034,UPL0001093,UPL0001093,MANGU SINGH WALA (DP NO.22),MANGU SINGH WALA (DP NO.22),2155,3,326,True,1,10/14/2020 9:35:38 AM,,,,,,,1
289035,UPL0001098,UPL0001098,GIRDHARI LAL POONA  WALI (DP NO.35),GIRDHARI LAL POONA  WALI (DP NO.35),2155,3,326,True,1,10/14/2020 9:35:38 AM,,,,,,,1
289036,UPL0001108,UPL0001108,KHOKHRA RASTA WALA NO.2 (DP NO.22),KHOKHRA RASTA WALA NO.2 (DP NO.22),2291,3,326,True,1,10/14/2020 9:35:38 AM,,,,,,,1
289037,UPL0001112,UPL0001112,9MANGILAL MUNIM WALA,9MANGILAL MUNIM WALA,5383,3,326,True,1,10/14/2020 9:35:38 AM,,,,,,,1
