NetworkLookup_TblRefID,Network_Code,Network_RAPDRPCode,Network_Name,Network_Address,HigherNetwork_ID,NetworkHierarchy_TblRefID,OrganisationLookup_TblRefID,IsActiveStatus,EntryUserCode,EntryDateTime,EntryLoginCode,UpdateLoginCode,UpdateUserCode,UpdateDateTime,Network_NIC_Code,Network_PFC_Code,SUPPLY_VTG_TblRefID
181846,PLS0001392,PLS0001392,Ekalwara Road,Ekalwara Road,8793,3,503,True,1,10/14/2020 9:35:38 AM,,,,,,,1
181848,PLS0001399,PLS0001399,Mittal,Mittal,8793,3,503,True,1,10/14/2020 9:35:38 AM,,,,,,,1
181849,PLS0001400,PLS0001400,Vinod Gininig,Vinod Gininig,8793,3,503,True,1,10/14/2020 9:35:38 AM,,,,,,,1
181858,PLS0001426,PLS0001426,Sarpnch F,Sarpnch F,6977,3,503,True,1,10/14/2020 9:35:38 AM,,,,,,,1
181920,RSP0000245,RSP0000245,G. T. L. Tawar Wala,G. T. L. Tawar Wala,8561,3,246,True,1,10/14/2020 9:35:38 AM,,,,,,,1
181948,RSP0000395,RSP0000395,Bhil Wadi Wala,Bhil Wadi Wala,5052,3,246,True,1,10/14/2020 9:35:38 AM,,,,,,,1
181963,RPK0000716,RPK0000716,CHAKKI WALA,CHAKKI WALA,2646,3,368,True,1,10/14/2020 9:35:38 AM,,,,,,,1
181964,RPK0000720,RPK0000720,WATER WORKS,WATER WORKS,2646,3,368,True,1,10/14/2020 9:35:38 AM,,,,,,,1
182050,PLY0000075,PLY0000075,Madan seth wala,Madan seth wala,3573,3,191,True,1,10/14/2020 9:35:38 AM,,,,,,,1
182057,PLY0000117,PLY0000117,Guptaji Wala,Guptaji Wala,3573,3,191,True,1,10/14/2020 9:35:38 AM,,,,,,,1
182083,RMG0000836,RMG0000836,jio tawer wala,jio tawer wala,2230,3,292,True,1,10/14/2020 9:35:38 AM,,,,,,,1
182150,RMP0000006,RMP0000006,NEW BUS STAND-I WALA,NEW BUS STAND-I WALA,5567,3,307,True,1,10/14/2020 9:35:38 AM,,,,,,,1
182151,RMP0000018,RMP0000018,BADIPURA WALA-I,BADIPURA WALA-I,5567,3,307,True,1,10/14/2020 9:35:38 AM,,,,,,,1
182152,RMP0000023,RMP0000023,AMIT ICE FACTORY,AMIT ICE FACTORY,8585,3,307,True,1,10/14/2020 9:35:38 AM,,,,,,,1
182220,RMP0000013,RMP0000013,NAYAPURA WALA-II,NAYAPURA WALA-II,5567,3,307,True,1,10/14/2020 9:35:38 AM,,,,,,,1
182234,RMP0000115,RMP0000115,GAON WALA X-MER,GAON WALA X-MER,1861,3,307,True,1,10/14/2020 9:35:38 AM,,,,,,,1
182236,RMP0000127,RMP0000127,WATER WORKS,WATER WORKS,1793,3,307,True,1,10/14/2020 9:35:38 AM,,,,,,,1
182255,RMP0000240,RMP0000240,MANAK CHOK WALA-III,MANAK CHOK WALA-III,5567,3,307,True,1,10/14/2020 9:35:38 AM,,,,,,,1
182267,RMP0000310,RMP0000310,DAIRY WALA XMER,DAIRY WALA XMER,1861,3,307,True,1,10/14/2020 9:35:38 AM,,,,,,,1
182272,RMP0000341,RMP0000341,ESSAR PETROL PUMP MELA GROUND,ESSAR PETROL PUMP MELA GROUND,8585,3,307,True,1,10/14/2020 9:35:38 AM,,,,,,,1
182286,RSP0000508,RSP0000508,Bhairukheda Road Saiyadpur,Bhairukheda Road Saiyadpur,5070,3,246,True,1,10/14/2020 9:35:38 AM,,,,,,,1
182289,RSP0000521,RSP0000521,Gulam Bhai ke Ghar ke piche wala,Gulam Bhai ke Ghar ke piche wala,5540,3,246,True,1,10/14/2020 9:35:38 AM,,,,,,,1
