NetworkLookup_TblRefID,Network_Code,Network_RAPDRPCode,Network_Name,Network_Address,HigherNetwork_ID,NetworkHierarchy_TblRefID,OrganisationLookup_TblRefID,IsActiveStatus,EntryUserCode,EntryDateTime,EntryLoginCode,UpdateLoginCode,UpdateUserCode,UpdateDateTime,Network_NIC_Code,Network_PFC_Code,SUPPLY_VTG_TblRefID
231873,VGM0000745,VGM0000745,jangal wala,jangal wala,3799,3,92,True,1,10/14/2020 9:35:38 AM,,,,,,,1
231874,VJN0000009,VJN0000009,SHOPPING COMPLEX,SHOPPING COMPLEX,6202,3,199,True,1,10/14/2020 9:35:38 AM,,,,,,,1
231875,VJN0000010,VJN0000010,A-7 MIG,A-7 MIG,6202,3,199,True,1,10/14/2020 9:35:38 AM,,,,,,,1
231876,VJN0000023,VJN0000023,CHAUDHARY KIRANA ANJANI NAGAR,CHAUDHARY KIRANA ANJANI NAGAR,6737,3,199,True,1,10/14/2020 9:35:38 AM,,,,,,,1
231877,VJN0000025,VJN0000025,RAM NAGAR 9 NO GALI KE PAS,RAM NAGAR 9 NO GALI KE PAS,6737,3,199,True,1,10/14/2020 9:35:38 AM,,,,,,,1
231878,VJN0000033,VJN0000033,106 MECHANIC NAGAR,106 MECHANIC NAGAR,6737,3,199,True,1,10/14/2020 9:35:38 AM,,,,,,,1
231879,VJN0000042,VJN0000042,AKSHAY DEEP 2,AKSHAY DEEP 2,6703,3,199,True,1,10/14/2020 9:35:38 AM,,,,,,,1
231880,VJN0000045,VJN0000045,SHEHNAI RESIDENCY A,SHEHNAI RESIDENCY A,6703,3,199,True,1,10/14/2020 9:35:38 AM,,,,,,,1
231881,VJN0000046,VJN0000046,SHEHNAI RESIDENCY B,SHEHNAI RESIDENCY B,6703,3,199,True,1,10/14/2020 9:35:38 AM,,,,,,,1
231882,VJN0000056,VJN0000056,CHABRA DIAGNOSIS,CHABRA DIAGNOSIS,6703,3,199,True,1,10/14/2020 9:35:38 AM,,,,,,,1
231883,VJN0000060,VJN0000060,SILVER HOUSE WALA,SILVER HOUSE WALA,7137,3,199,True,1,10/14/2020 9:35:38 AM,,,,,,,1
231884,VJN0000061,VJN0000061,SILVER HOUSE KE PAS,SILVER HOUSE KE PAS,7137,3,199,True,1,10/14/2020 9:35:38 AM,,,,,,,1
231885,VJN0000064,VJN0000064,AASHIYANA AB ROAD,AASHIYANA AB ROAD,7137,3,199,True,1,10/14/2020 9:35:38 AM,,,,,,,1
231886,VJN0000088,VJN0000088,HOUSE NO 1 DH SCHEME NO 74 KE SAMNE WALA,HOUSE NO 1 DH SCHEME NO 74 KE SAMNE WALA,8714,3,199,True,1,10/14/2020 9:35:38 AM,,,,,,,1
231887,VJN0000092,VJN0000092,DKN 213 SCHEME NO 74 KE SAMNE,DKN 213 SCHEME NO 74 KE SAMNE,8714,3,199,True,1,10/14/2020 9:35:38 AM,,,,,,,1
231888,VJN0000094,VJN0000094,MALVA PRIDE OMGURUDEV COMPLEX KE SAMNE WALA SCHEME NO 74,MALVA PRIDE OMGURUDEV COMPLEX KE SAMNE WALA SCHEME NO 74,8714,3,199,True,1,10/14/2020 9:35:38 AM,,,,,,,1
231889,VJN0000096,VJN0000096,MEGHDOOT PLAZA MEGHDOOT GARDEN KE SAMNE WALA SCHEME NO 54,MEGHDOOT PLAZA MEGHDOOT GARDEN KE SAMNE WALA SCHEME NO 54,7136,3,199,True,1,10/14/2020 9:35:38 AM,,,,,,,1
231890,VJN0000100,VJN0000100,ROYAL GLORY WALA SCHEME NO 54,ROYAL GLORY WALA SCHEME NO 54,7136,3,199,True,1,10/14/2020 9:35:38 AM,,,,,,,1
231891,VJN0000107,VJN0000107,MADE EASY KE SAMNE SCHEME NO 54,MADE EASY KE SAMNE SCHEME NO 54,7136,3,199,True,1,10/14/2020 9:35:38 AM,,,,,,,1
231892,VJN0000110,VJN0000110,KRISHU MOTER PARKING SCHEME NO 54,KRISHU MOTER PARKING SCHEME NO 54,7136,3,199,True,1,10/14/2020 9:35:38 AM,,,,,,,1
231893,VJN0000113,VJN0000113,PRINCESS BUSINESS PARK 3 SCHEME NO 54,PRINCESS BUSINESS PARK 3 SCHEME NO 54,7136,3,199,True,1,10/14/2020 9:35:38 AM,,,,,,,1
231894,VJN0000115,VJN0000115,PRINCESS BUSINESS PARK 5 SCHEME NO 5,PRINCESS BUSINESS PARK 5 SCHEME NO 5,7136,3,199,True,1,10/14/2020 9:35:38 AM,,,,,,,1
