NetworkLookup_TblRefID,Network_Code,Network_RAPDRPCode,Network_Name,Network_Address,HigherNetwork_ID,NetworkHierarchy_TblRefID,OrganisationLookup_TblRefID,IsActiveStatus,EntryUserCode,EntryDateTime,EntryLoginCode,UpdateLoginCode,UpdateUserCode,UpdateDateTime,Network_NIC_Code,Network_PFC_Code,SUPPLY_VTG_TblRefID
249001,BKL0000345,BKL0000345,Mahadev Wala,Mahadev Wala,1643,3,251,True,1,10/14/2020 9:35:38 AM,,,,,,,1
249002,BKL0000348,BKL0000348,Tower Wala,Tower Wala,2013,3,251,True,1,10/14/2020 9:35:38 AM,,,,,,,1
249003,BKL0000353,BKL0000353,Kumhar Wala 2 Bamni,Kumhar Wala 2 Bamni,1643,3,251,True,1,10/14/2020 9:35:38 AM,,,,,,,1
249004,BKL0000354,BKL0000354,Bamni Gaon Wala,Bamni Gaon Wala,1643,3,251,True,1,10/14/2020 9:35:38 AM,,,,,,,1
249005,BKL0000367,BKL0000367,Kakad Wala,Kakad Wala,7821,3,251,True,1,10/14/2020 9:35:38 AM,,,,,,,1
249006,BKL0000376,BKL0000376,Jhirniya Gaon Wala,Jhirniya Gaon Wala,1643,3,251,True,1,10/14/2020 9:35:38 AM,,,,,,,1
249007,BKL0000380,BKL0000380,Sarpanch Wala,Sarpanch Wala,7821,3,251,True,1,10/14/2020 9:35:38 AM,,,,,,,1
249008,BKL0000382,BKL0000382,Aam Wala Dasoriya,Aam Wala Dasoriya,7818,3,251,True,1,10/14/2020 9:35:38 AM,,,,,,,1
249009,BKL0000396,BKL0000396,Ram Lal Wala Dasoriya,Ram Lal Wala Dasoriya,7818,3,251,True,1,10/14/2020 9:35:38 AM,,,,,,,1
249010,BKL0000401,BKL0000401,Anokha Bai Umrav Singh,Anokha Bai Umrav Singh,7821,3,251,True,1,10/14/2020 9:35:38 AM,,,,,,,1
249011,BKL0000414,BKL0000414,Usha Ashok Wala,Usha Ashok Wala,1640,3,251,True,1,10/14/2020 9:35:38 AM,,,,,,,1
249012,BKL0000416,BKL0000416,Bhagirath Ramala Wala,Bhagirath Ramala Wala,1812,3,251,True,1,10/14/2020 9:35:38 AM,,,,,,,1
249013,BKL0000425,BKL0000425,Eshvar Lal Wala,Eshvar Lal Wala,1812,3,251,True,1,10/14/2020 9:35:38 AM,,,,,,,1
249014,BKL0000436,BKL0000436,Maankunwar Bai Ashok Patidar Wala,Maankunwar Bai Ashok Patidar Wala,5585,3,251,True,1,10/14/2020 9:35:38 AM,,,,,,,1
249015,BKL0000438,BKL0000438,Mangilal Bhana Wala,Mangilal Bhana Wala,5585,3,251,True,1,10/14/2020 9:35:38 AM,,,,,,,1
249016,BKL0000440,BKL0000440,Mangu Singh Wala,Mangu Singh Wala,5585,3,251,True,1,10/14/2020 9:35:38 AM,,,,,,,1
249017,BKL0000443,BKL0000443,Raju Shree Kishan Wala,Raju Shree Kishan Wala,5585,3,251,True,1,10/14/2020 9:35:38 AM,,,,,,,1
249018,BKL0000451,BKL0000451,Arjun Singh Wala,Arjun Singh Wala,5585,3,251,True,1,10/14/2020 9:35:38 AM,,,,,,,1
249019,BKL0000460,BKL0000460,Pura Lal Wala (B.Loya),Pura Lal Wala (B.Loya),1814,3,251,True,1,10/14/2020 9:35:38 AM,,,,,,,1
249020,BKL0000469,BKL0000469,Kachri Bai Wala Manki,Kachri Bai Wala Manki,1642,3,251,True,1,10/14/2020 9:35:38 AM,,,,,,,1
249021,BKL0000470,BKL0000470,Karan Singh Wala,Karan Singh Wala,1642,3,251,True,1,10/14/2020 9:35:38 AM,,,,,,,1
249022,BKL0000478,BKL0000478,Tara Bai Parasli Wala,Tara Bai Parasli Wala,1641,3,251,True,1,10/14/2020 9:35:38 AM,,,,,,,1
249023,BKL0000480,BKL0000480,Mangu Bai Sartan Singh Wala,Mangu Bai Sartan Singh Wala,7818,3,251,True,1,10/14/2020 9:35:38 AM,,,,,,,1
249024,BKL0000491,BKL0000491,Ayushman Petrol Pump Wala,Ayushman Petrol Pump Wala,2010,3,251,True,1,10/14/2020 9:35:38 AM,,,,,,,1
249025,BKL0000497,BKL0000497,WW Wala,WW Wala,2010,3,251,True,1,10/14/2020 9:35:38 AM,,,,,,,1
249026,BKL0000515,BKL0000515,Patidar Shree Restorent,Patidar Shree Restorent,2014,3,251,True,1,10/14/2020 9:35:38 AM,,,,,,,1
249027,BKL0000520,BKL0000520,Banjari Gaon Wala Naya,Banjari Gaon Wala Naya,8591,3,251,True,1,10/14/2020 9:35:38 AM,,,,,,,1
249028,BKL0000531,BKL0000531,SCHOOL KE PICHE WALA,SCHOOL KE PICHE WALA,2009,3,251,True,1,10/14/2020 9:35:38 AM,,,,,,,1
249029,BKL0000539,BKL0000539,TOWER KE PASS WALA,TOWER KE PASS WALA,2013,3,251,True,1,10/14/2020 9:35:38 AM,,,,,,,1
249030,BKL0000544,BKL0000544,CHUNNILAL NANURAM WALA,CHUNNILAL NANURAM WALA,6549,3,251,True,1,10/14/2020 9:35:38 AM,,,,,,,1
249031,BKL0000546,BKL0000546,SHAMBHU SINGH MOTI SINGH WALA,SHAMBHU SINGH MOTI SINGH WALA,1924,3,251,True,1,10/14/2020 9:35:38 AM,,,,,,,1
249032,BKN0000013,BKN0000013,TOTANAGAR WALA,TOTANAGAR WALA,4212,3,431,True,1,10/14/2020 9:35:38 AM,,,,,,,1
249033,BKN0000019,BKN0000019,RILANCE TOWER WALA,RILANCE TOWER WALA,4748,3,431,True,1,10/14/2020 9:35:38 AM,,,,,,,1
249034,BKN0000024,BKN0000024,PANDITJI WALA,PANDITJI WALA,3548,3,431,True,1,10/14/2020 9:35:38 AM,,,,,,,1
249035,BKN0000026,BKN0000026,KHODRA WALA,KHODRA WALA,3548,3,431,True,1,10/14/2020 9:35:38 AM,,,,,,,1
249036,BKN0000034,BKN0000034,KADWALIPURA SCHOOL,KADWALIPURA SCHOOL,4751,3,431,True,1,10/14/2020 9:35:38 AM,,,,,,,1
249037,BKN0000036,BKN0000036,CHACHA WALA,CHACHA WALA,4212,3,431,True,1,10/14/2020 9:35:38 AM,,,,,,,1
249038,BKN0000046,BKN0000046,MANGILAL WALA,MANGILAL WALA,4213,3,431,True,1,10/14/2020 9:35:38 AM,,,,,,,1
249039,BKN0000053,BKN0000053,MADIYAPURA WALA,MADIYAPURA WALA,4751,3,431,True,1,10/14/2020 9:35:38 AM,,,,,,,1
249040,BKN0000060,BKN0000060,KHERWA ROAD WALI,KHERWA ROAD WALI,4054,3,431,True,1,10/14/2020 9:35:38 AM,,,,,,,1
249041,BKN0000061,BKN0000061,BHALLAPURA WALI,BHALLAPURA WALI,4054,3,431,True,1,10/14/2020 9:35:38 AM,,,,,,,1
249042,BKN0000065,BKN0000065,DODVAPURA WALA 02,DODVAPURA WALA 02,4751,3,431,True,1,10/14/2020 9:35:38 AM,,,,,,,1
249043,BKN0000066,BKN0000066,KORIYA WALA,KORIYA WALA,3547,3,431,True,1,10/14/2020 9:35:38 AM,,,,,,,1
249044,BKN0000076,BKN0000076,KARSAN WALI,KARSAN WALI,4215,3,431,True,1,10/14/2020 9:35:38 AM,,,,,,,1
249045,BKN0000078,BKN0000078,VADAPURA WALI,VADAPURA WALI,3550,3,431,True,1,10/14/2020 9:35:38 AM,,,,,,,1
249046,BKN0000088,BKN0000088,SCHOOLPURA WALA,SCHOOLPURA WALA,4054,3,431,True,1,10/14/2020 9:35:38 AM,,,,,,,1
249047,BKN0000091,BKN0000091,UARDNA GONE WALA 02,UARDNA GONE WALA 02,8262,3,431,True,1,10/14/2020 9:35:38 AM,,,,,,,1
249048,BKN0000092,BKN0000092,KALALPURA WALI,KALALPURA WALI,4291,3,431,True,1,10/14/2020 9:35:38 AM,,,,,,,1
249049,BKN0000094,BKN0000094,MANDIR WALA BHOLIYAPURA,MANDIR WALA BHOLIYAPURA,4291,3,431,True,1,10/14/2020 9:35:38 AM,,,,,,,1
249050,BKN0000097,BKN0000097,ROAD WALI,ROAD WALI,4054,3,431,True,1,10/14/2020 9:35:38 AM,,,,,,,1
249051,BKN0000107,BKN0000107,SHIKHLIKAR MOHLLA WALA,SHIKHLIKAR MOHLLA WALA,4748,3,431,True,1,10/14/2020 9:35:38 AM,,,,,,,1
249052,BKN0000109,BKN0000109,BHARTI INFRATEL TOWER,BHARTI INFRATEL TOWER,3548,3,431,True,1,10/14/2020 9:35:38 AM,,,,,,,1
249053,BKN0000119,BKN0000119,AMBARAM WALA,AMBARAM WALA,4749,3,431,True,1,10/14/2020 9:35:38 AM,,,,,,,1
249054,BKN0000143,BKN0000143,KELASH WALI,KELASH WALI,4292,3,431,True,1,10/14/2020 9:35:38 AM,,,,,,,1
249055,BKN0000145,BKN0000145,DHAVARPURA WALI,DHAVARPURA WALI,4215,3,431,True,1,10/14/2020 9:35:38 AM,,,,,,,1
249056,BKN0000146,BKN0000146,NAYAPURA WALA,NAYAPURA WALA,4292,3,431,True,1,10/14/2020 9:35:38 AM,,,,,,,1
249057,BKN0000173,BKN0000173,BAVLIYAPURA WALI,BAVLIYAPURA WALI,4054,3,431,True,1,10/14/2020 9:35:38 AM,,,,,,,1
249058,BKN0000174,BKN0000174,KUBER WALI,KUBER WALI,4054,3,431,True,1,10/14/2020 9:35:38 AM,,,,,,,1
249059,BKN0000180,BKN0000180,NAHARSING WALA,NAHARSING WALA,4750,3,431,True,1,10/14/2020 9:35:38 AM,,,,,,,1
249060,BKN0000193,BKN0000193,PADTIYA WALA,PADTIYA WALA,8263,3,431,True,1,10/14/2020 9:35:38 AM,,,,,,,1
249061,BKN0000200,BKN0000200,DINESH TIKAM WALA,DINESH TIKAM WALA,4289,3,431,True,1,10/14/2020 9:35:38 AM,,,,,,,1
249062,BKN0000205,BKN0000205,PIPLIYA ROAD WALI,PIPLIYA ROAD WALI,4755,3,431,True,1,10/14/2020 9:35:38 AM,,,,,,,1
249063,BKN0000208,BKN0000208,KELASH BHURLA ANUDAN WALI,KELASH BHURLA ANUDAN WALI,4749,3,431,True,1,10/14/2020 9:35:38 AM,,,,,,,1
249064,BKN0000225,BKN0000225,RUKHMANI BAI WALI,RUKHMANI BAI WALI,4214,3,431,True,1,10/14/2020 9:35:38 AM,,,,,,,1
249065,BKN0000226,BKN0000226,CHITU DARBAR WALA,CHITU DARBAR WALA,4289,3,431,True,1,10/14/2020 9:35:38 AM,,,,,,,1
249066,BKN0000247,BKN0000247,RADHESYAM 01,RADHESYAM 01,4289,3,431,True,1,10/14/2020 9:35:38 AM,,,,,,,1
249067,BKN0000254,BKN0000254,DHANSING BHAVSING WALA,DHANSING BHAVSING WALA,4755,3,431,True,1,10/14/2020 9:35:38 AM,,,,,,,1
249068,BKN0000259,BKN0000259,DHOLIBAWADI IRR WALI 01,DHOLIBAWADI IRR WALI 01,4053,3,431,True,1,10/14/2020 9:35:38 AM,,,,,,,1
249069,BKN0000261,BKN0000261,MUKESH RAVJI WALA,MUKESH RAVJI WALA,4289,3,431,True,1,10/14/2020 9:35:38 AM,,,,,,,1
249070,BKN0000263,BKN0000263,SAJAN WALI,SAJAN WALI,4755,3,431,True,1,10/14/2020 9:35:38 AM,,,,,,,1
249071,BKN0000264,BKN0000264,JALAL BABA WALI,JALAL BABA WALI,4755,3,431,True,1,10/14/2020 9:35:38 AM,,,,,,,1
249072,BKN0000267,BKN0000267,KALU WALI,KALU WALI,4755,3,431,True,1,10/14/2020 9:35:38 AM,,,,,,,1
249073,BKN0000280,BKN0000280,SETH WALA 01,SETH WALA 01,4749,3,431,True,1,10/14/2020 9:35:38 AM,,,,,,,1
249074,BKN0000288,BKN0000288,KANAK WALA,KANAK WALA,8263,3,431,True,1,10/14/2020 9:35:38 AM,,,,,,,1
249075,BKN0000320,BKN0000320,ANUDAN REWASHANKAR WALA,ANUDAN REWASHANKAR WALA,4213,3,431,True,1,10/14/2020 9:35:38 AM,,,,,,,1
249076,BKN0000321,BKN0000321,MOHAN KISHOR ANUDAN WALI,MOHAN KISHOR ANUDAN WALI,4214,3,431,True,1,10/14/2020 9:35:38 AM,,,,,,,1
249077,BKN0000325,BKN0000325,SULIBAYADI-AMBAPURA WALA,SULIBAYADI-AMBAPURA WALA,4288,3,431,True,1,10/14/2020 9:35:38 AM,,,,,,,1
249078,BKN0000328,BKN0000328,TOL KE PASS ROAD WALA,TOL KE PASS ROAD WALA,4213,3,431,True,1,10/14/2020 9:35:38 AM,,,,,,,1
249079,BKN0000330,BKN0000330,JETAPUR NADI,JETAPUR NADI,4290,3,431,True,1,10/14/2020 9:35:38 AM,,,,,,,1
249080,BKN0000342,BKN0000342,VINOD WALI,VINOD WALI,4749,3,431,True,1,10/14/2020 9:35:38 AM,,,,,,,1
249081,BKN0000347,BKN0000347,DONGLA IRR WALI 01,DONGLA IRR WALI 01,4214,3,431,True,1,10/14/2020 9:35:38 AM,,,,,,,1
249082,BKN0000355,BKN0000355,LAKHAN GODREJ 02,LAKHAN GODREJ 02,8263,3,431,True,1,10/14/2020 9:35:38 AM,,,,,,,1
249083,BKN0000364,BKN0000364,WAYAL-NAHAR WALA,WAYAL-NAHAR WALA,4289,3,431,True,1,10/14/2020 9:35:38 AM,,,,,,,1
249084,BKN0000366,BKN0000366,GAJRAJ KHET(SURENDR DARBAR) 02,GAJRAJ KHET(SURENDR DARBAR) 02,8263,3,431,True,1,10/14/2020 9:35:38 AM,,,,,,,1
249085,BKN0000370,BKN0000370,DHARMENDR KHET (SURENDR DARBAR) 03,DHARMENDR KHET (SURENDR DARBAR) 03,8263,3,431,True,1,10/14/2020 9:35:38 AM,,,,,,,1
249086,BKN0000373,BKN0000373,DAYARAM 03,DAYARAM 03,8263,3,431,True,1,10/14/2020 9:35:38 AM,,,,,,,1
249087,BKN0000380,BKN0000380,GHAMNDI WALA 01,GHAMNDI WALA 01,8263,3,431,True,1,10/14/2020 9:35:38 AM,,,,,,,1
249088,BKN0000388,BKN0000388,SUNTOSH DARBAR WALA,SUNTOSH DARBAR WALA,8263,3,431,True,1,10/14/2020 9:35:38 AM,,,,,,,1
249089,BKN0000389,BKN0000389,IRRIGATION WALA,IRRIGATION WALA,4749,3,431,True,1,10/14/2020 9:35:38 AM,,,,,,,1
249090,BKN0000402,BKN0000402,MAVALIPURA WALA,MAVALIPURA WALA,3549,3,431,True,1,10/14/2020 9:35:38 AM,,,,,,,1
249091,BKN0000409,BKN0000409,MALSING ANUDAN WALA,MALSING ANUDAN WALA,4213,3,431,True,1,10/14/2020 9:35:38 AM,,,,,,,1
249092,BKN0000411,BKN0000411,TALAB WALI 01,TALAB WALI 01,4214,3,431,True,1,10/14/2020 9:35:38 AM,,,,,,,1
249093,BKN0000412,BKN0000412,TALAB WALI 02,TALAB WALI 02,4214,3,431,True,1,10/14/2020 9:35:38 AM,,,,,,,1
249094,BKN0000414,BKN0000414,MUKATI WALI,MUKATI WALI,4214,3,431,True,1,10/14/2020 9:35:38 AM,,,,,,,1
249095,BKN0000434,BKN0000434,LAXMAN WALI,LAXMAN WALI,4755,3,431,True,1,10/14/2020 9:35:38 AM,,,,,,,1
249096,BKN0000436,BKN0000436,DASHRATH WALA,DASHRATH WALA,4290,3,431,True,1,10/14/2020 9:35:38 AM,,,,,,,1
249097,BKN0000445,BKN0000445,PADTIYA WALA,PADTIYA WALA,3549,3,431,True,1,10/14/2020 9:35:38 AM,,,,,,,1
249098,BKN0000446,BKN0000446,BAYADIPURA WALA,BAYADIPURA WALA,3549,3,431,True,1,10/14/2020 9:35:38 AM,,,,,,,1
249099,BKN0000467,BKN0000467,JIO TOWER WALI,JIO TOWER WALI,4054,3,431,True,1,10/14/2020 9:35:38 AM,,,,,,,1
249100,BKN0000484,BKN0000484,PAWAN WALA,PAWAN WALA,4290,3,431,True,1,10/14/2020 9:35:38 AM,,,,,,,1
249101,BKN0000489,BKN0000489,BSNL TOWAR WALA,BSNL TOWAR WALA,3548,3,431,True,1,10/14/2020 9:35:38 AM,,,,,,,1
249102,BKN0000517,BKN0000517,SHREE DHAR WALA,SHREE DHAR WALA,4289,3,431,True,1,10/14/2020 9:35:38 AM,,,,,,,1
249103,BKN0000523,BKN0000523,RAKESH MOTILAL WALA,RAKESH MOTILAL WALA,4289,3,431,True,1,10/14/2020 9:35:38 AM,,,,,,,1
249104,BKN0000525,BKN0000525,DINESH WALA,DINESH WALA,4289,3,431,True,1,10/14/2020 9:35:38 AM,,,,,,,1
249105,BKN0000551,BKN0000551,JAMNIYA WALA 02,JAMNIYA WALA 02,4749,3,431,True,1,10/14/2020 9:35:38 AM,,,,,,,1
249106,BKN0000558,BKN0000558,FULSING WALI,FULSING WALI,4214,3,431,True,1,10/14/2020 9:35:38 AM,,,,,,,1
249107,BKN0000565,BKN0000565,BHARA WALA,BHARA WALA,3549,3,431,True,1,10/14/2020 9:35:38 AM,,,,,,,1
249108,BKN0000569,BKN0000569,GATA WALA,GATA WALA,3549,3,431,True,1,10/14/2020 9:35:38 AM,,,,,,,1
249109,BKN0000570,BKN0000570,BAKANER ROAD WALA,BAKANER ROAD WALA,3549,3,431,True,1,10/14/2020 9:35:38 AM,,,,,,,1
249110,BKN0000571,BKN0000571,MADIYA WALA,MADIYA WALA,3549,3,431,True,1,10/14/2020 9:35:38 AM,,,,,,,1
249111,BKN0000575,BKN0000575,PATELPURA WALA,PATELPURA WALA,4751,3,431,True,1,10/14/2020 9:35:38 AM,,,,,,,1
249112,BKN0000585,BKN0000585,FARESTPURA WALI,FARESTPURA WALI,3550,3,431,True,1,10/14/2020 9:35:38 AM,,,,,,,1
249113,BKN0000590,BKN0000590,LAWANI GONE WALi,LAWANI GONE WALi,3550,3,431,True,1,10/14/2020 9:35:38 AM,,,,,,,1
249114,BKN0000595,BKN0000595,PUNRWAS WALA,PUNRWAS WALA,3548,3,431,True,1,10/14/2020 9:35:38 AM,,,,,,,1
249115,BKN0000604,BKN0000604,MUNNA WALI,MUNNA WALI,4290,3,431,True,1,10/14/2020 9:35:38 AM,,,,,,,1
249116,BKN0000613,BKN0000613,NVDA WALA 04,NVDA WALA 04,4290,3,431,True,1,10/14/2020 9:35:38 AM,,,,,,,1
249117,BKN0000623,BKN0000623,SARASGONE 01,SARASGONE 01,4290,3,431,True,1,10/14/2020 9:35:38 AM,,,,,,,1
249118,BKN0000627,BKN0000627,NVDA WALA 12,NVDA WALA 12,4290,3,431,True,1,10/14/2020 9:35:38 AM,,,,,,,1
249119,BKN0000631,BKN0000631,NVDA WALA 16,NVDA WALA 16,4290,3,431,True,1,10/14/2020 9:35:38 AM,,,,,,,1
249120,BKN0000632,BKN0000632,NVDA WALA 17,NVDA WALA 17,4290,3,431,True,1,10/14/2020 9:35:38 AM,,,,,,,1
249121,BKN0000636,BKN0000636,KADWALIYA WALI,KADWALIYA WALI,4214,3,431,True,1,10/14/2020 9:35:38 AM,,,,,,,1
