NetworkLookup_TblRefID,Network_Code,Network_RAPDRPCode,Network_Name,Network_Address,HigherNetwork_ID,NetworkHierarchy_TblRefID,OrganisationLookup_TblRefID,IsActiveStatus,EntryUserCode,EntryDateTime,EntryLoginCode,UpdateLoginCode,UpdateUserCode,UpdateDateTime,Network_NIC_Code,Network_PFC_Code,SUPPLY_VTG_TblRefID
250001,BRC0000395,BRC0000395,Mansingh wala,Mansingh wala,2848,3,118,True,1,10/14/2020 9:35:38 AM,,,,,,,1
250002,BRC0000398,BRC0000398,Moti Bhera Anudan wala,Moti Bhera Anudan wala,2851,3,118,True,1,10/14/2020 9:35:38 AM,,,,,,,1
250003,BRC0000409,BRC0000409,Ladsingh Banshilal wala,Ladsingh Banshilal wala,2924,3,118,True,1,10/14/2020 9:35:38 AM,,,,,,,1
250004,BRC0000413,BRC0000413,Prabhusingh Gurjar wala,Prabhusingh Gurjar wala,8076,3,118,True,1,10/14/2020 9:35:38 AM,,,,,,,1
250005,BRC0000415,BRC0000415,Onkarsingh Ramchandra wala,Onkarsingh Ramchandra wala,2848,3,118,True,1,10/14/2020 9:35:38 AM,,,,,,,1
250006,BRC0000416,BRC0000416,Pavankumar Ramlal wala-1,Pavankumar Ramlal wala-1,2922,3,118,True,1,10/14/2020 9:35:38 AM,,,,,,,1
250007,BRC0000422,BRC0000422,Premsingh Bapu Mafi wala,Premsingh Bapu Mafi wala,3086,3,118,True,1,10/14/2020 9:35:38 AM,,,,,,,1
250008,BRC0000426,BRC0000426,Radheshyam Onkar wala,Radheshyam Onkar wala,2994,3,118,True,1,10/14/2020 9:35:38 AM,,,,,,,1
250009,BRC0000428,BRC0000428,Rajmal wala,Rajmal wala,2924,3,118,True,1,10/14/2020 9:35:38 AM,,,,,,,1
250010,BRC0000438,BRC0000438,Ramsingh Baldev wala,Ramsingh Baldev wala,2922,3,118,True,1,10/14/2020 9:35:38 AM,,,,,,,1
250011,BRC0000444,BRC0000444,Shiv ji Devisingh wala,Shiv ji Devisingh wala,2924,3,118,True,1,10/14/2020 9:35:38 AM,,,,,,,1
250012,BRC0000446,BRC0000446,Satish Kumar Anandilal wala,Satish Kumar Anandilal wala,2922,3,118,True,1,10/14/2020 9:35:38 AM,,,,,,,1
250013,BRC0000447,BRC0000447,Shyamlal wala,Shyamlal wala,2848,3,118,True,1,10/14/2020 9:35:38 AM,,,,,,,1
250014,BRC0000450,BRC0000450,Sitaram Bherulal Anudan wala,Sitaram Bherulal Anudan wala,2924,3,118,True,1,10/14/2020 9:35:38 AM,,,,,,,1
250015,BRC0000458,BRC0000458,Vishnu Dariyav wala,Vishnu Dariyav wala,3637,3,118,True,1,10/14/2020 9:35:38 AM,,,,,,,1
250016,BRC0000484,BRC0000484,VISHNU WALA,VISHNU WALA,3218,3,118,True,1,10/14/2020 9:35:38 AM,,,,,,,1
250017,BRC0000492,BRC0000492,Ganv wala,Ganv wala,8074,3,118,True,1,10/14/2020 9:35:38 AM,,,,,,,1
250018,BRC0000505,BRC0000505,Harijan wala,Harijan wala,2995,3,118,True,1,10/14/2020 9:35:38 AM,,,,,,,1
250019,BRC0000517,BRC0000517,Bumdiya wala,Bumdiya wala,2849,3,118,True,1,10/14/2020 9:35:38 AM,,,,,,,1
250020,BRC0000538,BRC0000538,Mahakal-2,Mahakal-2,3418,3,118,True,1,10/14/2020 9:35:38 AM,,,,,,,1
250021,BRC0000543,BRC0000543,Itadi Wala,Itadi Wala,2851,3,118,True,1,10/14/2020 9:35:38 AM,,,,,,,1
250022,BRC0000558,BRC0000558,Karanpura Gaon wala,Karanpura Gaon wala,2851,3,118,True,1,10/14/2020 9:35:38 AM,,,,,,,1
250023,BRC0000560,BRC0000560,Naharsingh Wala,Naharsingh Wala,2851,3,118,True,1,10/14/2020 9:35:38 AM,,,,,,,1
250024,BRC0000568,BRC0000568,GANV WALA,GANV WALA,8076,3,118,True,1,10/14/2020 9:35:38 AM,,,,,,,1
250025,BRC0000571,BRC0000571,Gaon wala,Gaon wala,3417,3,118,True,1,10/14/2020 9:35:38 AM,,,,,,,1
250026,BRC0000578,BRC0000578,Harijan wala,Harijan wala,8075,3,118,True,1,10/14/2020 9:35:38 AM,,,,,,,1
250027,BRC0000583,BRC0000583,Antarsingh wala,Antarsingh wala,2924,3,118,True,1,10/14/2020 9:35:38 AM,,,,,,,1
250028,BRC0000586,BRC0000586,Dargah wala,Dargah wala,2849,3,118,True,1,10/14/2020 9:35:38 AM,,,,,,,1
250029,BRC0000593,BRC0000593,Ganv wala,Ganv wala,2849,3,118,True,1,10/14/2020 9:35:38 AM,,,,,,,1
250030,BRC0000601,BRC0000601,Aaganwadi wala,Aaganwadi wala,3418,3,118,True,1,10/14/2020 9:35:38 AM,,,,,,,1
250031,BRC0000613,BRC0000613,SURAJ SINGH SHIVLAL GURJAR  WALA,SURAJ SINGH SHIVLAL GURJAR  WALA,8076,3,118,True,1,10/14/2020 9:35:38 AM,,,,,,,1
250032,BRC0000628,BRC0000628,Siroliya Raste wala,Siroliya Raste wala,2924,3,118,True,1,10/14/2020 9:35:38 AM,,,,,,,1
250033,BRC0000630,BRC0000630,BHAWANSINGH WALA,BHAWANSINGH WALA,8075,3,118,True,1,10/14/2020 9:35:38 AM,,,,,,,1
250034,BRC0000635,BRC0000635,Idgah-2 wala,Idgah-2 wala,2847,3,118,True,1,10/14/2020 9:35:38 AM,,,,,,,1
250035,BRC0000637,BRC0000637,manshingh wala,manshingh wala,3637,3,118,True,1,10/14/2020 9:35:38 AM,,,,,,,1
250036,BRC0000638,BRC0000638,DHAN SINGH MANGILAL,DHAN SINGH MANGILAL,3637,3,118,True,1,10/14/2020 9:35:38 AM,,,,,,,1
250037,BRC0000642,BRC0000642,Water Works wala,Water Works wala,2847,3,118,True,1,10/14/2020 9:35:38 AM,,,,,,,1
250038,BRC0000655,BRC0000655,DEVISINGH LAL JI WALA,DEVISINGH LAL JI WALA,3415,3,118,True,1,10/14/2020 9:35:38 AM,,,,,,,1
250039,BRC0000656,BRC0000656,SOURAM AGRO WALA,SOURAM AGRO WALA,2995,3,118,True,1,10/14/2020 9:35:38 AM,,,,,,,1
250040,BRC0000665,BRC0000665,JITENDRA WALA,JITENDRA WALA,2924,3,118,True,1,10/14/2020 9:35:38 AM,,,,,,,1
250041,BRC0000676,BRC0000676,Panchayat wala,Panchayat wala,8075,3,118,True,1,10/14/2020 9:35:38 AM,,,,,,,1
250042,BRC0000682,BRC0000682,MADHO SINGH BHONI SINGH WALA,MADHO SINGH BHONI SINGH WALA,3416,3,118,True,1,10/14/2020 9:35:38 AM,,,,,,,1
250043,BRC0000698,BRC0000698,shav lal nathu lal wala,shav lal nathu lal wala,8076,3,118,True,1,10/14/2020 9:35:38 AM,,,,,,,1
250044,BRC0000707,BRC0000707,INDIRA COLONY WALA,INDIRA COLONY WALA,8075,3,118,True,1,10/14/2020 9:35:38 AM,,,,,,,1
250045,BRC0000715,BRC0000715,RELIANCE JIO TOWER WALA,RELIANCE JIO TOWER WALA,2996,3,118,True,1,10/14/2020 9:35:38 AM,,,,,,,1
250046,BRC0000723,BRC0000723,kheda wala,kheda wala,3415,3,118,True,1,10/14/2020 9:35:38 AM,,,,,,,1
250047,BRC0000728,BRC0000728,HANUMAN MANDIR WALA,HANUMAN MANDIR WALA,8075,3,118,True,1,10/14/2020 9:35:38 AM,,,,,,,1
250048,BRC0000738,BRC0000738,Block wala,Block wala,2995,3,118,True,1,10/14/2020 9:35:38 AM,,,,,,,1
250049,BRC0000744,BRC0000744,Mohan siddhu wala,Mohan siddhu wala,3415,3,118,True,1,10/14/2020 9:35:38 AM,,,,,,,1
250050,BRC0000764,BRC0000764,MANGU BAPU  wala,MANGU BAPU  wala,3415,3,118,True,1,10/14/2020 9:35:38 AM,,,,,,,1
250051,BRC0000769,BRC0000769,LEELA BAI MADHO SINGH wala,LEELA BAI MADHO SINGH wala,2851,3,118,True,1,10/14/2020 9:35:38 AM,,,,,,,1
250052,BRC0000772,BRC0000772,LACHHIRAM AATMARAM wala,LACHHIRAM AATMARAM wala,2994,3,118,True,1,10/14/2020 9:35:38 AM,,,,,,,1
250053,BRC0000781,BRC0000781,BANE SINGH PIRULAL wlaa,BANE SINGH PIRULAL wlaa,2851,3,118,True,1,10/14/2020 9:35:38 AM,,,,,,,1
250054,BRC0000783,BRC0000783,ASHOK KUMAR RAMCHANDRA  wala,ASHOK KUMAR RAMCHANDRA  wala,2849,3,118,True,1,10/14/2020 9:35:38 AM,,,,,,,1
250055,BRC0000805,BRC0000805,MUNNA LAL wala,MUNNA LAL wala,2851,3,118,True,1,10/14/2020 9:35:38 AM,,,,,,,1
250056,BRC0000814,BRC0000814,GYAN SINGH GANGARM wala,GYAN SINGH GANGARM wala,8076,3,118,True,1,10/14/2020 9:35:38 AM,,,,,,,1
250057,BRC0000823,BRC0000823,Harijan wala,Harijan wala,2996,3,118,True,1,10/14/2020 9:35:38 AM,,,,,,,1
250058,BRC0000830,BRC0000830,water works Dam wala,water works Dam wala,3412,3,118,True,1,10/14/2020 9:35:38 AM,,,,,,,1
250059,BRD0000003,BRD0000003,Kankar Wala,Kankar Wala,2969,3,78,True,1,10/14/2020 9:35:38 AM,,,,,,,1
250060,BRD0000007,BRD0000007,Bhagatji Wala,Bhagatji Wala,2969,3,78,True,1,10/14/2020 9:35:38 AM,,,,,,,1
250061,BRD0000012,BRD0000012,Gaon Wala,Gaon Wala,8053,3,76,True,1,10/14/2020 9:35:38 AM,,,,,,,1
250062,BRD0000024,BRD0000024,33/11 Kv Grid,33/11 Kv Grid,3061,3,76,True,1,10/14/2020 9:35:38 AM,,,,,,,1
250063,BRD0000025,BRD0000025,Gaon Ke Paas Wala,Gaon Ke Paas Wala,3061,3,76,True,1,10/14/2020 9:35:38 AM,,,,,,,1
250064,BRD0000027,BRD0000027,Grid Wala,Grid Wala,5815,3,76,True,1,10/14/2020 9:35:38 AM,,,,,,,1
250065,BRD0000031,BRD0000031,Gaon Wala,Gaon Wala,3624,3,78,True,1,10/14/2020 9:35:38 AM,,,,,,,1
250066,BRD0000036,BRD0000036,GAON WALA,GAON WALA,2754,3,76,True,1,10/14/2020 9:35:38 AM,,,,,,,1
250067,BRD0000065,BRD0000065,Harnawada Raste Wala,Harnawada Raste Wala,2969,3,78,True,1,10/14/2020 9:35:38 AM,,,,,,,1
250068,BRD0000074,BRD0000074,Chhayan Raste Wala,Chhayan Raste Wala,8055,3,78,True,1,10/14/2020 9:35:38 AM,,,,,,,1
250069,BRD0000084,BRD0000084,Gaon Wala,Gaon Wala,3624,3,78,True,1,10/14/2020 9:35:38 AM,,,,,,,1
250070,BRD0000095,BRD0000095,Khanan Wala,Khanan Wala,2969,3,78,True,1,10/14/2020 9:35:38 AM,,,,,,,1
250071,BRD0000108,BRD0000108,Chamar Wala,Chamar Wala,2969,3,78,True,1,10/14/2020 9:35:38 AM,,,,,,,1
250072,BRD0000112,BRD0000112,Gaon Wala,Gaon Wala,3621,3,76,True,1,10/14/2020 9:35:38 AM,,,,,,,1
250073,BRD0000122,BRD0000122,GAW WALA RGGVY (1),GAW WALA RGGVY (1),2754,3,76,True,1,10/14/2020 9:35:38 AM,,,,,,,1
250074,BRD0000126,BRD0000126,Gaonwala 1,Gaonwala 1,5816,3,76,True,1,10/14/2020 9:35:38 AM,,,,,,,1
250075,BRD0000128,BRD0000128,GAON WALA,GAON WALA,2969,3,78,True,1,10/14/2020 9:35:38 AM,,,,,,,1
250076,BRD0000137,BRD0000137,GAON WALA,GAON WALA,2971,3,78,True,1,10/14/2020 9:35:38 AM,,,,,,,1
250077,BRD0000138,BRD0000138,GAON WALA,GAON WALA,3064,3,78,True,1,10/14/2020 9:35:38 AM,,,,,,,1
250078,BRD0000164,BRD0000164,GAON WALA,GAON WALA,2754,3,76,True,1,10/14/2020 9:35:38 AM,,,,,,,1
250079,BRD0000173,BRD0000173,GAON WALA 2,GAON WALA 2,3062,3,78,True,1,10/14/2020 9:35:38 AM,,,,,,,1
250080,BRD0000177,BRD0000177,GAON WALA,GAON WALA,2754,3,76,True,1,10/14/2020 9:35:38 AM,,,,,,,1
